starttime	seconds	ctime	dtime	ttime	wait
Sat Oct 19 01:33:38 2019	1571448818	0	30	30	30
Sat Oct 19 01:33:38 2019	1571448818	0	30	30	30
Sat Oct 19 01:33:38 2019	1571448818	0	30	30	30
Sat Oct 19 01:33:38 2019	1571448818	0	30	30	30
Sat Oct 19 01:33:38 2019	1571448818	0	30	30	30
Sat Oct 19 01:33:38 2019	1571448818	0	30	30	30
Sat Oct 19 01:33:38 2019	1571448818	0	30	30	30
Sat Oct 19 01:33:38 2019	1571448818	0	30	30	30
Sat Oct 19 01:33:38 2019	1571448818	0	30	30	30
Sat Oct 19 01:33:38 2019	1571448818	0	30	30	30
Sat Oct 19 01:33:38 2019	1571448818	0	30	30	30
Sat Oct 19 01:33:38 2019	1571448818	0	30	31	30
Sat Oct 19 01:33:38 2019	1571448818	0	30	31	30
Sat Oct 19 01:33:38 2019	1571448818	0	30	31	30
Sat Oct 19 01:33:38 2019	1571448818	0	31	31	31
Sat Oct 19 01:33:38 2019	1571448818	0	31	31	31
Sat Oct 19 01:33:38 2019	1571448818	0	31	31	31
Sat Oct 19 01:33:35 2019	1571448815	0	31	31	31
Sat Oct 19 01:33:35 2019	1571448815	0	31	31	31
Sat Oct 19 01:33:35 2019	1571448815	0	31	31	31
Sat Oct 19 01:33:38 2019	1571448818	0	31	31	31
Sat Oct 19 01:33:37 2019	1571448817	0	31	31	31
Sat Oct 19 01:33:37 2019	1571448817	0	31	31	31
Sat Oct 19 01:33:35 2019	1571448815	0	31	31	31
Sat Oct 19 01:33:35 2019	1571448815	0	31	31	31
Sat Oct 19 01:33:35 2019	1571448815	0	31	31	31
Sat Oct 19 01:33:38 2019	1571448818	0	31	31	31
Sat Oct 19 01:33:35 2019	1571448815	0	31	31	31
Sat Oct 19 01:33:38 2019	1571448818	0	31	31	31
Sat Oct 19 01:33:38 2019	1571448818	0	31	31	31
Sat Oct 19 01:33:37 2019	1571448817	0	31	31	31
Sat Oct 19 01:33:38 2019	1571448818	0	31	31	31
Sat Oct 19 01:33:35 2019	1571448815	0	31	31	31
Sat Oct 19 01:33:35 2019	1571448815	0	31	31	31
Sat Oct 19 01:33:35 2019	1571448815	0	31	31	31
Sat Oct 19 01:33:35 2019	1571448815	0	31	31	31
Sat Oct 19 01:33:35 2019	1571448815	0	31	31	31
Sat Oct 19 01:33:37 2019	1571448817	0	31	31	31
Sat Oct 19 01:33:35 2019	1571448815	0	31	31	31
Sat Oct 19 01:33:35 2019	1571448815	0	31	31	31
Sat Oct 19 01:33:35 2019	1571448815	0	31	31	31
Sat Oct 19 01:33:35 2019	1571448815	0	31	31	31
Sat Oct 19 01:33:35 2019	1571448815	0	31	31	31
Sat Oct 19 01:33:37 2019	1571448817	0	31	31	31
Sat Oct 19 01:33:38 2019	1571448818	0	31	31	31
Sat Oct 19 01:33:37 2019	1571448817	0	31	31	31
Sat Oct 19 01:33:35 2019	1571448815	0	31	31	31
Sat Oct 19 01:33:35 2019	1571448815	0	31	31	31
Sat Oct 19 01:33:35 2019	1571448815	0	31	31	31
Sat Oct 19 01:33:37 2019	1571448817	0	31	31	31
Sat Oct 19 01:33:37 2019	1571448817	0	31	31	31
Sat Oct 19 01:33:37 2019	1571448817	0	31	31	31
Sat Oct 19 01:33:37 2019	1571448817	0	31	31	31
Sat Oct 19 01:33:37 2019	1571448817	0	31	31	31
Sat Oct 19 01:33:35 2019	1571448815	0	31	31	31
Sat Oct 19 01:33:35 2019	1571448815	0	31	31	31
Sat Oct 19 01:33:35 2019	1571448815	0	31	31	31
Sat Oct 19 01:33:35 2019	1571448815	0	31	31	31
Sat Oct 19 01:33:37 2019	1571448817	0	31	31	31
Sat Oct 19 01:33:37 2019	1571448817	0	31	31	31
Sat Oct 19 01:33:37 2019	1571448817	0	31	31	31
Sat Oct 19 01:33:37 2019	1571448817	0	31	31	31
Sat Oct 19 01:33:35 2019	1571448815	0	31	31	31
Sat Oct 19 01:33:37 2019	1571448817	0	31	31	31
Sat Oct 19 01:33:35 2019	1571448815	0	31	31	31
Sat Oct 19 01:33:35 2019	1571448815	0	31	31	31
Sat Oct 19 01:33:35 2019	1571448815	0	31	31	31
Sat Oct 19 01:33:37 2019	1571448817	0	31	31	31
Sat Oct 19 01:33:35 2019	1571448815	0	31	31	31
Sat Oct 19 01:33:35 2019	1571448815	0	31	31	31
Sat Oct 19 01:33:35 2019	1571448815	0	31	31	31
Sat Oct 19 01:33:37 2019	1571448817	0	31	31	31
Sat Oct 19 01:33:35 2019	1571448815	0	31	31	31
Sat Oct 19 01:33:35 2019	1571448815	0	31	31	31
Sat Oct 19 01:33:35 2019	1571448815	0	31	31	31
Sat Oct 19 01:33:35 2019	1571448815	0	31	31	31
Sat Oct 19 01:33:35 2019	1571448815	0	31	31	31
Sat Oct 19 01:33:35 2019	1571448815	0	31	31	31
Sat Oct 19 01:33:35 2019	1571448815	0	31	31	31
Sat Oct 19 01:33:35 2019	1571448815	0	31	31	31
Sat Oct 19 01:33:35 2019	1571448815	0	31	31	31
Sat Oct 19 01:33:35 2019	1571448815	0	31	31	31
Sat Oct 19 01:33:35 2019	1571448815	0	31	31	31
Sat Oct 19 01:33:35 2019	1571448815	0	31	31	31
Sat Oct 19 01:33:35 2019	1571448815	0	31	31	31
Sat Oct 19 01:33:35 2019	1571448815	0	31	31	31
Sat Oct 19 01:33:35 2019	1571448815	0	31	31	31
Sat Oct 19 01:33:37 2019	1571448817	0	31	31	31
Sat Oct 19 01:33:35 2019	1571448815	0	31	31	31
Sat Oct 19 01:33:35 2019	1571448815	0	31	31	31
Sat Oct 19 01:33:35 2019	1571448815	0	31	31	31
Sat Oct 19 01:33:35 2019	1571448815	0	31	31	31
Sat Oct 19 01:33:35 2019	1571448815	0	31	31	31
Sat Oct 19 01:33:35 2019	1571448815	0	31	31	31
Sat Oct 19 01:33:35 2019	1571448815	0	31	31	31
Sat Oct 19 01:33:35 2019	1571448815	0	31	31	31
Sat Oct 19 01:33:35 2019	1571448815	0	31	31	31
Sat Oct 19 01:33:35 2019	1571448815	0	31	31	31
Sat Oct 19 01:33:35 2019	1571448815	0	31	31	31
Sat Oct 19 01:33:35 2019	1571448815	0	31	31	31
Sat Oct 19 01:33:35 2019	1571448815	0	31	31	31
Sat Oct 19 01:33:35 2019	1571448815	0	31	31	31
Sat Oct 19 01:33:35 2019	1571448815	0	31	31	31
Sat Oct 19 01:33:35 2019	1571448815	0	31	31	31
Sat Oct 19 01:33:35 2019	1571448815	0	31	31	31
