Percentage served,Time in ms
0,24.128
1,30.035
2,30.647
3,31.386
4,31.471
5,31.492
6,31.509
7,31.525
8,31.538
9,31.548
10,31.564
11,31.582
12,31.601
13,31.631
14,31.669
15,31.700
16,31.721
17,31.740
18,31.753
19,31.767
20,31.786
21,31.806
22,31.824
23,31.855
24,31.877
25,31.901
26,31.936
27,31.955
28,31.974
29,31.983
30,31.993
31,32.002
32,32.013
33,32.024
34,32.035
35,32.044
36,32.055
37,32.068
38,32.083
39,32.101
40,32.123
41,32.139
42,32.165
43,32.193
44,32.225
45,32.246
46,32.263
47,32.281
48,32.301
49,32.334
50,32.374
51,32.400
52,32.432
53,32.451
54,32.470
55,32.494
56,32.522
57,32.554
58,32.596
59,32.645
60,32.700
61,32.769
62,32.848
63,32.909
64,32.972
65,33.052
66,33.133
67,33.176
68,33.242
69,33.496
70,34.293
71,34.419
72,34.582
73,34.692
74,34.769
75,34.867
76,34.960
77,35.169
78,35.460
79,36.587
80,37.192
81,40.610
82,42.045
83,45.037
84,48.981
85,51.267
86,64.647
87,80.850
88,83.818
89,227.945
90,733.281
91,736.396
92,736.550
93,737.933
94,738.664
95,739.111
96,739.872
97,742.370
98,748.609
99,13722.929
100,13752.997
