starttime	seconds	ctime	dtime	ttime	wait
Sat Oct 19 03:45:10 2019	1571456710	0	28	28	28
Sat Oct 19 03:45:10 2019	1571456710	0	28	28	28
Sat Oct 19 03:45:10 2019	1571456710	0	28	28	28
Sat Oct 19 03:45:10 2019	1571456710	0	28	28	28
Sat Oct 19 03:45:10 2019	1571456710	0	29	29	29
Sat Oct 19 03:45:10 2019	1571456710	0	29	29	29
Sat Oct 19 03:45:10 2019	1571456710	0	29	29	29
Sat Oct 19 03:45:10 2019	1571456710	0	29	29	29
Sat Oct 19 03:45:10 2019	1571456710	0	29	29	29
Sat Oct 19 03:45:10 2019	1571456710	0	29	29	29
Sat Oct 19 03:45:10 2019	1571456710	0	29	29	29
Sat Oct 19 03:45:10 2019	1571456710	0	29	29	29
Sat Oct 19 03:45:10 2019	1571456710	0	29	29	29
Sat Oct 19 03:45:10 2019	1571456710	0	29	29	29
Sat Oct 19 03:45:10 2019	1571456710	0	30	30	30
Sat Oct 19 03:45:10 2019	1571456710	0	30	30	30
Sat Oct 19 03:45:10 2019	1571456710	0	30	30	30
Sat Oct 19 03:45:10 2019	1571456710	0	30	30	30
Sat Oct 19 03:45:10 2019	1571456710	0	30	30	30
Sat Oct 19 03:45:11 2019	1571456711	0	30	30	30
Sat Oct 19 03:45:06 2019	1571456706	0	30	30	30
Sat Oct 19 03:45:11 2019	1571456711	0	30	30	30
Sat Oct 19 03:45:10 2019	1571456710	0	30	30	30
Sat Oct 19 03:45:10 2019	1571456710	0	30	30	30
Sat Oct 19 03:45:10 2019	1571456710	0	30	30	30
Sat Oct 19 03:45:11 2019	1571456711	0	30	30	30
Sat Oct 19 03:45:06 2019	1571456706	0	30	30	30
Sat Oct 19 03:45:10 2019	1571456710	0	30	30	30
Sat Oct 19 03:45:07 2019	1571456707	0	30	30	30
Sat Oct 19 03:45:10 2019	1571456710	0	30	30	30
Sat Oct 19 03:45:10 2019	1571456710	0	30	30	30
Sat Oct 19 03:45:10 2019	1571456710	0	30	30	30
Sat Oct 19 03:45:10 2019	1571456710	0	30	30	30
Sat Oct 19 03:45:11 2019	1571456711	0	30	31	30
Sat Oct 19 03:45:06 2019	1571456706	0	30	31	30
Sat Oct 19 03:45:07 2019	1571456707	0	30	31	30
Sat Oct 19 03:45:10 2019	1571456710	0	30	31	30
Sat Oct 19 03:45:06 2019	1571456706	0	31	31	31
Sat Oct 19 03:45:10 2019	1571456710	0	31	31	30
Sat Oct 19 03:45:06 2019	1571456706	0	31	31	31
Sat Oct 19 03:45:06 2019	1571456706	0	31	31	31
Sat Oct 19 03:45:06 2019	1571456706	0	31	31	31
Sat Oct 19 03:45:06 2019	1571456706	0	31	31	31
Sat Oct 19 03:45:06 2019	1571456706	0	31	31	31
Sat Oct 19 03:45:06 2019	1571456706	0	31	31	31
Sat Oct 19 03:45:06 2019	1571456706	0	31	31	31
Sat Oct 19 03:45:06 2019	1571456706	0	31	31	31
Sat Oct 19 03:45:06 2019	1571456706	0	31	31	31
Sat Oct 19 03:45:06 2019	1571456706	0	31	31	31
Sat Oct 19 03:45:11 2019	1571456711	0	31	31	31
Sat Oct 19 03:45:06 2019	1571456706	0	31	31	31
Sat Oct 19 03:45:06 2019	1571456706	0	31	31	31
Sat Oct 19 03:45:06 2019	1571456706	0	31	31	31
Sat Oct 19 03:45:06 2019	1571456706	0	31	31	31
Sat Oct 19 03:45:10 2019	1571456710	0	31	31	31
Sat Oct 19 03:45:06 2019	1571456706	0	31	31	31
Sat Oct 19 03:45:06 2019	1571456706	0	31	31	31
Sat Oct 19 03:45:10 2019	1571456710	0	31	31	31
Sat Oct 19 03:45:06 2019	1571456706	0	31	31	31
Sat Oct 19 03:45:06 2019	1571456706	0	31	31	31
Sat Oct 19 03:45:06 2019	1571456706	0	31	31	31
Sat Oct 19 03:45:06 2019	1571456706	0	31	31	31
Sat Oct 19 03:45:06 2019	1571456706	0	31	31	31
Sat Oct 19 03:45:06 2019	1571456706	0	31	31	31
Sat Oct 19 03:45:06 2019	1571456706	0	31	31	31
Sat Oct 19 03:45:06 2019	1571456706	0	31	31	31
Sat Oct 19 03:45:06 2019	1571456706	0	31	31	31
Sat Oct 19 03:45:06 2019	1571456706	0	31	31	31
Sat Oct 19 03:45:06 2019	1571456706	0	31	31	31
Sat Oct 19 03:45:08 2019	1571456708	0	31	31	31
Sat Oct 19 03:45:06 2019	1571456706	0	31	31	31
Sat Oct 19 03:45:06 2019	1571456706	0	31	31	31
Sat Oct 19 03:45:06 2019	1571456706	0	31	31	31
Sat Oct 19 03:45:06 2019	1571456706	0	31	31	31
Sat Oct 19 03:45:06 2019	1571456706	0	31	31	31
Sat Oct 19 03:45:06 2019	1571456706	0	31	31	31
Sat Oct 19 03:45:06 2019	1571456706	0	31	31	31
Sat Oct 19 03:45:06 2019	1571456706	0	31	31	31
Sat Oct 19 03:45:06 2019	1571456706	0	31	31	31
Sat Oct 19 03:45:06 2019	1571456706	0	31	31	31
Sat Oct 19 03:45:06 2019	1571456706	0	31	31	31
Sat Oct 19 03:45:06 2019	1571456706	0	31	31	31
Sat Oct 19 03:45:06 2019	1571456706	0	31	31	31
Sat Oct 19 03:45:06 2019	1571456706	0	31	31	31
Sat Oct 19 03:45:06 2019	1571456706	0	31	31	31
Sat Oct 19 03:45:06 2019	1571456706	0	31	31	31
Sat Oct 19 03:45:06 2019	1571456706	0	31	31	31
Sat Oct 19 03:45:06 2019	1571456706	0	31	31	31
Sat Oct 19 03:45:11 2019	1571456711	0	31	31	31
Sat Oct 19 03:45:06 2019	1571456706	0	31	31	31
Sat Oct 19 03:45:06 2019	1571456706	0	31	31	31
Sat Oct 19 03:45:06 2019	1571456706	0	31	31	31
Sat Oct 19 03:45:06 2019	1571456706	0	31	31	31
Sat Oct 19 03:45:06 2019	1571456706	0	31	31	31
Sat Oct 19 03:45:06 2019	1571456706	0	31	31	31
Sat Oct 19 03:45:07 2019	1571456707	0	31	31	31
Sat Oct 19 03:45:06 2019	1571456706	0	31	31	31
Sat Oct 19 03:45:06 2019	1571456706	0	31	31	31
Sat Oct 19 03:45:06 2019	1571456706	0	31	31	31
Sat Oct 19 03:45:06 2019	1571456706	0	31	31	31
Sat Oct 19 03:45:06 2019	1571456706	0	31	31	31
Sat Oct 19 03:45:06 2019	1571456706	0	31	31	31
Sat Oct 19 03:45:06 2019	1571456706	0	31	31	31
