Percentage served,Time in ms
0,27.873
1,30.934
2,31.031
3,31.075
4,31.112
5,31.136
6,31.156
7,31.175
8,31.198
9,31.249
10,31.307
11,31.356
12,31.378
13,31.402
14,31.432
15,31.473
16,31.500
17,31.536
18,31.558
19,31.581
20,31.596
21,31.611
22,31.631
23,31.659
24,31.686
25,31.701
26,31.709
27,31.715
28,31.727
29,31.744
30,31.757
31,31.778
32,31.804
33,31.822
34,31.835
35,31.845
36,31.852
37,31.859
38,31.868
39,31.875
40,31.884
41,31.898
42,31.912
43,31.938
44,31.960
45,31.976
46,31.990
47,32.004
48,32.017
49,32.036
50,32.051
51,32.069
52,32.093
53,32.114
54,32.143
55,32.174
56,32.204
57,32.221
58,32.249
59,32.269
60,32.291
61,32.310
62,32.330
63,32.361
64,32.390
65,32.407
66,32.423
67,32.445
68,32.461
69,32.486
70,32.508
71,32.540
72,32.574
73,32.603
74,32.630
75,32.672
76,32.713
77,32.777
78,32.902
79,32.963
80,33.031
81,33.114
82,33.246
83,33.413
84,33.620
85,34.195
86,36.021
87,37.428
88,40.104
89,42.297
90,49.987
91,223.757
92,244.478
93,636.001
94,637.057
95,637.596
96,638.953
97,639.318
98,642.040
99,6965.551
100,6993.358
