Percentage served,Time in ms
0,10.068
1,19.363
2,29.161
3,30.954
4,30.995
5,31.020
6,31.086
7,31.142
8,31.205
9,31.267
10,31.306
11,31.388
12,31.429
13,31.458
14,31.496
15,31.539
16,31.571
17,31.607
18,31.649
19,31.679
20,31.712
21,31.737
22,31.776
23,31.815
24,31.840
25,31.854
26,31.870
27,31.885
28,31.903
29,31.929
30,31.951
31,31.993
32,32.025
33,32.115
34,32.218
35,32.350
36,32.494
37,32.587
38,32.665
39,32.729
40,32.836
41,32.948
42,33.140
43,33.299
44,33.664
45,34.090
46,34.249
47,34.438
48,34.554
49,34.647
50,34.717
51,34.778
52,34.875
53,34.941
54,35.004
55,35.056
56,35.123
57,35.199
58,35.265
59,35.335
60,35.423
61,35.482
62,35.627
63,36.042
64,36.375
65,37.245
66,37.664
67,38.218
68,38.661
69,40.388
70,40.861
71,41.865
72,42.862
73,44.171
74,45.043
75,45.838
76,47.686
77,50.837
78,52.997
79,58.566
80,65.908
81,206.590
82,222.330
83,831.438
84,836.029
85,837.388
86,837.950
87,838.771
88,838.996
89,839.105
90,839.237
91,839.824
92,841.424
93,842.297
94,843.003
95,846.585
96,848.409
97,853.817
98,871.644
99,13588.437
100,13620.975
