starttime	seconds	ctime	dtime	ttime	wait
Sat Oct 19 02:09:15 2019	1571450955	0	24	24	24
Sat Oct 19 02:09:15 2019	1571450955	0	24	25	24
Sat Oct 19 02:09:15 2019	1571450955	0	25	25	25
Sat Oct 19 02:09:15 2019	1571450955	0	25	25	25
Sat Oct 19 02:09:15 2019	1571450955	0	25	25	25
Sat Oct 19 02:09:15 2019	1571450955	0	25	26	25
Sat Oct 19 02:09:15 2019	1571450955	0	26	26	26
Sat Oct 19 02:09:15 2019	1571450955	0	26	26	26
Sat Oct 19 02:09:15 2019	1571450955	0	26	26	26
Sat Oct 19 02:09:15 2019	1571450955	0	26	26	26
Sat Oct 19 02:09:15 2019	1571450955	0	26	27	26
Sat Oct 19 02:09:15 2019	1571450955	0	27	27	26
Sat Oct 19 02:09:15 2019	1571450955	0	27	27	27
Sat Oct 19 02:09:15 2019	1571450955	0	27	27	27
Sat Oct 19 02:09:15 2019	1571450955	0	27	27	27
Sat Oct 19 02:09:15 2019	1571450955	0	27	27	27
Sat Oct 19 02:09:15 2019	1571450955	0	27	27	27
Sat Oct 19 02:09:15 2019	1571450955	0	27	27	27
Sat Oct 19 02:09:15 2019	1571450955	0	27	27	27
Sat Oct 19 02:09:15 2019	1571450955	0	27	27	27
Sat Oct 19 02:09:15 2019	1571450955	0	27	27	27
Sat Oct 19 02:09:15 2019	1571450955	0	27	27	27
Sat Oct 19 02:09:15 2019	1571450955	0	27	27	27
Sat Oct 19 02:09:15 2019	1571450955	0	27	28	27
Sat Oct 19 02:09:15 2019	1571450955	0	27	28	27
Sat Oct 19 02:09:15 2019	1571450955	0	27	28	27
Sat Oct 19 02:09:13 2019	1571450953	0	28	28	28
Sat Oct 19 02:09:15 2019	1571450955	0	28	28	28
Sat Oct 19 02:09:13 2019	1571450953	0	28	28	28
Sat Oct 19 02:09:15 2019	1571450955	0	28	28	28
Sat Oct 19 02:09:13 2019	1571450953	0	28	28	28
Sat Oct 19 02:09:15 2019	1571450955	0	28	28	28
Sat Oct 19 02:09:15 2019	1571450955	0	28	28	28
Sat Oct 19 02:09:15 2019	1571450955	0	28	28	28
Sat Oct 19 02:09:15 2019	1571450955	0	28	28	28
Sat Oct 19 02:09:15 2019	1571450955	0	28	28	28
Sat Oct 19 02:09:13 2019	1571450953	0	28	28	28
Sat Oct 19 02:09:15 2019	1571450955	0	28	28	28
Sat Oct 19 02:09:13 2019	1571450953	0	28	28	28
Sat Oct 19 02:09:13 2019	1571450953	0	28	29	28
Sat Oct 19 02:09:13 2019	1571450953	0	28	29	28
Sat Oct 19 02:09:13 2019	1571450953	0	29	29	29
Sat Oct 19 02:09:13 2019	1571450953	0	29	29	29
Sat Oct 19 02:09:15 2019	1571450955	0	29	29	28
Sat Oct 19 02:09:13 2019	1571450953	0	28	29	28
Sat Oct 19 02:09:13 2019	1571450953	0	29	29	29
Sat Oct 19 02:09:13 2019	1571450953	0	29	29	29
Sat Oct 19 02:09:13 2019	1571450953	0	29	29	29
Sat Oct 19 02:09:13 2019	1571450953	0	29	29	29
Sat Oct 19 02:09:13 2019	1571450953	0	29	29	29
Sat Oct 19 02:09:13 2019	1571450953	0	29	29	29
Sat Oct 19 02:09:13 2019	1571450953	0	29	29	29
Sat Oct 19 02:09:15 2019	1571450955	0	29	29	29
Sat Oct 19 02:09:13 2019	1571450953	0	29	29	29
Sat Oct 19 02:09:15 2019	1571450955	0	29	29	29
Sat Oct 19 02:09:15 2019	1571450955	0	29	29	29
Sat Oct 19 02:09:15 2019	1571450955	0	29	29	29
Sat Oct 19 02:09:13 2019	1571450953	0	29	29	29
Sat Oct 19 02:09:15 2019	1571450955	0	29	29	29
Sat Oct 19 02:09:13 2019	1571450953	0	29	29	29
Sat Oct 19 02:09:13 2019	1571450953	0	29	29	29
Sat Oct 19 02:09:15 2019	1571450955	0	29	29	29
Sat Oct 19 02:09:13 2019	1571450953	0	29	29	29
Sat Oct 19 02:09:15 2019	1571450955	0	29	29	29
Sat Oct 19 02:09:13 2019	1571450953	0	29	29	29
Sat Oct 19 02:09:15 2019	1571450955	0	29	29	29
Sat Oct 19 02:09:13 2019	1571450953	0	29	29	29
Sat Oct 19 02:09:13 2019	1571450953	0	29	29	29
Sat Oct 19 02:09:15 2019	1571450955	0	29	29	29
Sat Oct 19 02:09:13 2019	1571450953	0	29	30	29
Sat Oct 19 02:09:13 2019	1571450953	0	29	30	29
Sat Oct 19 02:09:12 2019	1571450952	0	30	30	29
Sat Oct 19 02:09:13 2019	1571450953	0	30	30	30
Sat Oct 19 02:09:13 2019	1571450953	0	30	30	30
Sat Oct 19 02:09:13 2019	1571450953	0	30	30	30
Sat Oct 19 02:09:13 2019	1571450953	0	30	30	30
Sat Oct 19 02:09:13 2019	1571450953	0	30	30	30
Sat Oct 19 02:09:12 2019	1571450952	0	30	30	30
Sat Oct 19 02:09:13 2019	1571450953	0	30	30	30
Sat Oct 19 02:09:15 2019	1571450955	0	30	30	30
Sat Oct 19 02:09:15 2019	1571450955	0	30	30	30
Sat Oct 19 02:09:15 2019	1571450955	0	30	30	30
Sat Oct 19 02:09:14 2019	1571450954	0	30	30	30
Sat Oct 19 02:09:13 2019	1571450953	0	30	30	30
Sat Oct 19 02:09:12 2019	1571450952	0	30	30	30
Sat Oct 19 02:09:13 2019	1571450953	0	30	30	30
Sat Oct 19 02:09:13 2019	1571450953	0	30	30	30
Sat Oct 19 02:09:12 2019	1571450952	0	30	30	30
Sat Oct 19 02:09:13 2019	1571450953	0	30	30	30
Sat Oct 19 02:09:13 2019	1571450953	0	30	30	30
Sat Oct 19 02:09:15 2019	1571450955	0	30	30	30
Sat Oct 19 02:09:13 2019	1571450953	0	30	30	30
Sat Oct 19 02:09:13 2019	1571450953	0	30	30	30
Sat Oct 19 02:09:12 2019	1571450952	0	30	30	30
Sat Oct 19 02:09:12 2019	1571450952	0	30	30	30
Sat Oct 19 02:09:12 2019	1571450952	0	30	30	30
Sat Oct 19 02:09:12 2019	1571450952	0	30	30	30
Sat Oct 19 02:09:13 2019	1571450953	0	30	30	30
Sat Oct 19 02:09:13 2019	1571450953	0	30	30	30
Sat Oct 19 02:09:12 2019	1571450952	0	30	31	30
Sat Oct 19 02:09:13 2019	1571450953	0	30	31	30
Sat Oct 19 02:09:15 2019	1571450955	0	30	31	30
Sat Oct 19 02:09:14 2019	1571450954	0	31	31	31
Sat Oct 19 02:09:15 2019	1571450955	0	31	31	31
Sat Oct 19 02:09:14 2019	1571450954	0	31	31	31
Sat Oct 19 02:09:15 2019	1571450955	0	31	31	31
Sat Oct 19 02:09:15 2019	1571450955	0	31	31	31
Sat Oct 19 02:09:15 2019	1571450955	0	31	31	31
Sat Oct 19 02:09:12 2019	1571450952	0	31	31	31
Sat Oct 19 02:09:13 2019	1571450953	0	31	31	31
Sat Oct 19 02:09:13 2019	1571450953	0	31	31	31
Sat Oct 19 02:09:13 2019	1571450953	0	31	31	31
Sat Oct 19 02:09:13 2019	1571450953	0	31	31	31
Sat Oct 19 02:09:13 2019	1571450953	0	31	31	31
Sat Oct 19 02:09:12 2019	1571450952	0	31	31	31
Sat Oct 19 02:09:15 2019	1571450955	0	31	31	31
Sat Oct 19 02:09:13 2019	1571450953	0	31	31	31
Sat Oct 19 02:09:12 2019	1571450952	0	31	31	31
Sat Oct 19 02:09:13 2019	1571450953	0	31	31	31
Sat Oct 19 02:09:13 2019	1571450953	0	31	31	31
Sat Oct 19 02:09:13 2019	1571450953	0	31	31	31
Sat Oct 19 02:09:13 2019	1571450953	0	31	31	31
Sat Oct 19 02:09:13 2019	1571450953	0	31	31	31
Sat Oct 19 02:09:13 2019	1571450953	0	31	31	31
Sat Oct 19 02:09:12 2019	1571450952	0	31	31	31
Sat Oct 19 02:09:13 2019	1571450953	0	31	31	31
Sat Oct 19 02:09:09 2019	1571450949	0	31	31	31
Sat Oct 19 02:09:12 2019	1571450952	0	31	31	31
Sat Oct 19 02:09:13 2019	1571450953	0	31	31	31
Sat Oct 19 02:09:15 2019	1571450955	0	31	31	31
Sat Oct 19 02:09:09 2019	1571450949	0	31	31	31
Sat Oct 19 02:09:15 2019	1571450955	0	31	31	31
Sat Oct 19 02:09:12 2019	1571450952	0	31	31	31
Sat Oct 19 02:09:09 2019	1571450949	0	31	31	31
Sat Oct 19 02:09:09 2019	1571450949	0	31	31	31
Sat Oct 19 02:09:09 2019	1571450949	0	31	31	31
Sat Oct 19 02:09:09 2019	1571450949	0	31	31	31
Sat Oct 19 02:09:09 2019	1571450949	0	31	31	31
Sat Oct 19 02:09:09 2019	1571450949	0	31	31	31
Sat Oct 19 02:09:12 2019	1571450952	0	31	31	31
Sat Oct 19 02:09:09 2019	1571450949	0	31	31	31
Sat Oct 19 02:09:09 2019	1571450949	0	31	31	31
Sat Oct 19 02:09:09 2019	1571450949	0	31	31	31
Sat Oct 19 02:09:09 2019	1571450949	0	31	31	31
Sat Oct 19 02:09:13 2019	1571450953	0	31	31	31
Sat Oct 19 02:09:09 2019	1571450949	0	31	31	31
Sat Oct 19 02:09:09 2019	1571450949	0	31	31	31
Sat Oct 19 02:09:09 2019	1571450949	0	31	31	31
Sat Oct 19 02:09:09 2019	1571450949	0	31	31	31
Sat Oct 19 02:09:09 2019	1571450949	0	31	31	31
Sat Oct 19 02:09:09 2019	1571450949	0	31	31	31
Sat Oct 19 02:09:09 2019	1571450949	0	31	31	31
Sat Oct 19 02:09:09 2019	1571450949	0	31	31	31
Sat Oct 19 02:09:09 2019	1571450949	0	31	31	31
Sat Oct 19 02:09:13 2019	1571450953	0	31	31	31
Sat Oct 19 02:09:13 2019	1571450953	0	31	31	31
Sat Oct 19 02:09:09 2019	1571450949	0	31	31	31
Sat Oct 19 02:09:09 2019	1571450949	0	31	31	31
Sat Oct 19 02:09:09 2019	1571450949	0	31	31	31
Sat Oct 19 02:09:09 2019	1571450949	0	31	31	31
Sat Oct 19 02:09:09 2019	1571450949	0	31	31	31
Sat Oct 19 02:09:09 2019	1571450949	0	31	31	31
Sat Oct 19 02:09:09 2019	1571450949	0	31	31	31
Sat Oct 19 02:09:09 2019	1571450949	0	31	31	31
Sat Oct 19 02:09:09 2019	1571450949	0	31	31	31
Sat Oct 19 02:09:12 2019	1571450952	0	31	31	31
Sat Oct 19 02:09:09 2019	1571450949	0	31	31	31
Sat Oct 19 02:09:09 2019	1571450949	0	31	31	31
Sat Oct 19 02:09:09 2019	1571450949	0	31	31	31
Sat Oct 19 02:09:09 2019	1571450949	0	31	31	31
Sat Oct 19 02:09:10 2019	1571450950	0	31	31	31
Sat Oct 19 02:09:14 2019	1571450954	0	31	31	31
Sat Oct 19 02:09:11 2019	1571450951	0	31	31	31
Sat Oct 19 02:09:09 2019	1571450949	0	31	31	31
Sat Oct 19 02:09:09 2019	1571450949	0	31	31	31
Sat Oct 19 02:09:15 2019	1571450955	0	31	31	31
Sat Oct 19 02:09:11 2019	1571450951	0	31	31	31
Sat Oct 19 02:09:11 2019	1571450951	0	31	31	31
Sat Oct 19 02:09:09 2019	1571450949	0	31	31	31
Sat Oct 19 02:09:09 2019	1571450949	0	31	31	31
Sat Oct 19 02:09:09 2019	1571450949	0	31	31	31
Sat Oct 19 02:09:09 2019	1571450949	0	31	31	31
Sat Oct 19 02:09:09 2019	1571450949	0	31	31	31
Sat Oct 19 02:09:10 2019	1571450950	0	31	31	31
Sat Oct 19 02:09:11 2019	1571450951	0	31	31	31
Sat Oct 19 02:09:10 2019	1571450950	0	31	31	31
Sat Oct 19 02:09:09 2019	1571450949	0	31	31	31
Sat Oct 19 02:09:09 2019	1571450949	0	31	31	31
Sat Oct 19 02:09:09 2019	1571450949	0	31	31	31
Sat Oct 19 02:09:10 2019	1571450950	0	31	31	31
Sat Oct 19 02:09:10 2019	1571450950	0	31	31	31
Sat Oct 19 02:09:09 2019	1571450949	0	31	31	31
Sat Oct 19 02:09:09 2019	1571450949	0	31	31	31
Sat Oct 19 02:09:10 2019	1571450950	0	31	31	31
Sat Oct 19 02:09:10 2019	1571450950	0	31	31	31
Sat Oct 19 02:09:11 2019	1571450951	0	31	31	31
Sat Oct 19 02:09:10 2019	1571450950	0	31	31	31
Sat Oct 19 02:09:09 2019	1571450949	0	31	31	31
Sat Oct 19 02:09:11 2019	1571450951	0	31	31	31
Sat Oct 19 02:09:10 2019	1571450950	0	31	31	31
Sat Oct 19 02:09:11 2019	1571450951	0	31	31	31
Sat Oct 19 02:09:10 2019	1571450950	0	31	31	31
Sat Oct 19 02:09:11 2019	1571450951	0	31	31	31
Sat Oct 19 02:09:11 2019	1571450951	0	31	31	31
Sat Oct 19 02:09:11 2019	1571450951	0	31	31	31
Sat Oct 19 02:09:10 2019	1571450950	0	31	31	31
Sat Oct 19 02:09:11 2019	1571450951	0	31	31	31
Sat Oct 19 02:09:09 2019	1571450949	0	31	31	31
Sat Oct 19 02:09:11 2019	1571450951	0	31	31	31
Sat Oct 19 02:09:11 2019	1571450951	0	31	31	31
Sat Oct 19 02:09:09 2019	1571450949	0	31	31	31
Sat Oct 19 02:09:11 2019	1571450951	0	31	31	31
Sat Oct 19 02:09:11 2019	1571450951	0	31	31	31
Sat Oct 19 02:09:09 2019	1571450949	0	31	31	31
Sat Oct 19 02:09:11 2019	1571450951	0	31	31	31
Sat Oct 19 02:09:13 2019	1571450953	0	31	31	31
Sat Oct 19 02:09:09 2019	1571450949	0	31	31	31
Sat Oct 19 02:09:11 2019	1571450951	0	31	31	31
Sat Oct 19 02:09:09 2019	1571450949	0	31	31	31
Sat Oct 19 02:09:11 2019	1571450951	0	31	31	31
Sat Oct 19 02:09:11 2019	1571450951	0	31	31	31
Sat Oct 19 02:09:11 2019	1571450951	0	31	31	31
Sat Oct 19 02:09:09 2019	1571450949	0	31	31	31
Sat Oct 19 02:09:11 2019	1571450951	0	31	31	31
