Percentage served,Time in ms
0,9.578
1,21.414
2,27.799
3,31.170
4,31.251
5,31.278
6,31.405
7,31.456
8,31.467
9,31.477
10,31.485
11,31.496
12,31.507
13,31.519
14,31.529
15,31.541
16,31.557
17,31.567
18,31.577
19,31.591
20,31.613
21,31.643
22,31.668
23,31.701
24,31.796
25,31.840
26,31.878
27,31.932
28,31.947
29,31.970
30,32.104
31,32.169
32,32.217
33,32.249
34,32.296
35,32.396
36,32.470
37,32.549
38,32.608
39,32.697
40,32.777
41,32.906
42,33.025
43,33.139
44,33.449
45,34.020
46,34.222
47,34.339
48,34.453
49,34.571
50,34.665
51,34.735
52,34.782
53,34.826
54,34.869
55,34.898
56,34.940
57,34.978
58,35.015
59,35.048
60,35.120
61,35.214
62,35.416
63,35.613
64,35.948
65,36.485
66,36.927
67,37.219
68,38.374
69,40.243
70,41.692
71,44.121
72,46.251
73,49.265
74,50.751
75,59.400
76,61.496
77,65.920
78,121.427
79,170.376
80,235.840
81,833.962
82,836.565
83,837.650
84,838.132
85,838.634
86,838.848
87,839.039
88,839.474
89,839.632
90,840.099
91,840.623
92,842.166
93,842.949
94,844.108
95,849.494
96,1067.489
97,13643.529
98,14414.459
99,32595.772
100,33551.833
