starttime	seconds	ctime	dtime	ttime	wait
Sat Oct 19 01:10:18 2019	1571447418	0	29	30	29
Sat Oct 19 01:10:18 2019	1571447418	1	29	30	29
Sat Oct 19 01:10:18 2019	1571447418	1	29	30	29
Sat Oct 19 01:10:18 2019	1571447418	0	30	30	30
Sat Oct 19 01:10:18 2019	1571447418	0	30	30	30
Sat Oct 19 01:10:18 2019	1571447418	0	30	30	30
Sat Oct 19 01:10:18 2019	1571447418	0	30	30	30
Sat Oct 19 01:10:18 2019	1571447418	0	30	30	30
Sat Oct 19 01:10:18 2019	1571447418	0	30	30	30
Sat Oct 19 01:10:16 2019	1571447416	0	30	30	30
Sat Oct 19 01:10:18 2019	1571447418	0	30	31	30
Sat Oct 19 01:10:18 2019	1571447418	0	30	31	30
Sat Oct 19 01:10:15 2019	1571447415	0	31	31	30
Sat Oct 19 01:10:18 2019	1571447418	0	31	31	31
Sat Oct 19 01:10:18 2019	1571447418	0	31	31	31
Sat Oct 19 01:10:18 2019	1571447418	0	30	31	30
Sat Oct 19 01:10:18 2019	1571447418	0	31	31	31
Sat Oct 19 01:10:18 2019	1571447418	0	31	31	31
Sat Oct 19 01:10:18 2019	1571447418	0	31	31	31
Sat Oct 19 01:10:16 2019	1571447416	0	31	31	31
Sat Oct 19 01:10:16 2019	1571447416	0	31	31	31
Sat Oct 19 01:10:16 2019	1571447416	0	31	31	31
Sat Oct 19 01:10:18 2019	1571447418	0	31	31	31
Sat Oct 19 01:10:16 2019	1571447416	0	31	31	31
Sat Oct 19 01:10:18 2019	1571447418	0	31	31	31
Sat Oct 19 01:10:16 2019	1571447416	0	31	31	31
Sat Oct 19 01:10:15 2019	1571447415	0	31	31	31
Sat Oct 19 01:10:18 2019	1571447418	2	29	31	29
Sat Oct 19 01:10:18 2019	1571447418	0	31	31	31
Sat Oct 19 01:10:18 2019	1571447418	0	31	31	31
Sat Oct 19 01:10:18 2019	1571447418	0	31	31	31
Sat Oct 19 01:10:15 2019	1571447415	0	31	31	31
Sat Oct 19 01:10:15 2019	1571447415	0	31	31	31
Sat Oct 19 01:10:15 2019	1571447415	0	31	31	31
Sat Oct 19 01:10:15 2019	1571447415	0	31	31	31
Sat Oct 19 01:10:16 2019	1571447416	0	31	31	31
Sat Oct 19 01:10:17 2019	1571447417	0	31	31	31
Sat Oct 19 01:10:15 2019	1571447415	0	31	31	31
Sat Oct 19 01:10:18 2019	1571447418	0	31	31	31
Sat Oct 19 01:10:16 2019	1571447416	0	31	31	31
Sat Oct 19 01:10:17 2019	1571447417	0	31	31	31
Sat Oct 19 01:10:17 2019	1571447417	0	31	31	31
Sat Oct 19 01:10:16 2019	1571447416	0	31	31	31
Sat Oct 19 01:10:17 2019	1571447417	0	31	31	31
Sat Oct 19 01:10:17 2019	1571447417	0	31	31	31
Sat Oct 19 01:10:16 2019	1571447416	0	31	31	31
Sat Oct 19 01:10:16 2019	1571447416	0	31	31	31
Sat Oct 19 01:10:17 2019	1571447417	0	31	31	31
Sat Oct 19 01:10:18 2019	1571447418	0	31	31	31
Sat Oct 19 01:10:17 2019	1571447417	0	31	31	31
Sat Oct 19 01:10:16 2019	1571447416	0	31	31	31
Sat Oct 19 01:10:17 2019	1571447417	0	31	31	31
Sat Oct 19 01:10:15 2019	1571447415	0	31	31	31
Sat Oct 19 01:10:17 2019	1571447417	0	31	31	31
Sat Oct 19 01:10:17 2019	1571447417	0	31	31	31
Sat Oct 19 01:10:15 2019	1571447415	0	31	31	31
Sat Oct 19 01:10:16 2019	1571447416	0	31	31	31
Sat Oct 19 01:10:15 2019	1571447415	0	31	31	31
Sat Oct 19 01:10:15 2019	1571447415	0	31	31	31
Sat Oct 19 01:10:16 2019	1571447416	0	31	31	31
Sat Oct 19 01:10:16 2019	1571447416	0	31	31	31
Sat Oct 19 01:10:17 2019	1571447417	0	31	31	31
Sat Oct 19 01:10:17 2019	1571447417	0	31	31	31
Sat Oct 19 01:10:15 2019	1571447415	0	31	31	31
Sat Oct 19 01:10:16 2019	1571447416	0	31	31	31
Sat Oct 19 01:10:16 2019	1571447416	0	31	31	31
Sat Oct 19 01:10:16 2019	1571447416	0	31	31	31
Sat Oct 19 01:10:17 2019	1571447417	0	31	31	31
Sat Oct 19 01:10:17 2019	1571447417	0	31	31	31
Sat Oct 19 01:10:17 2019	1571447417	0	31	31	31
Sat Oct 19 01:10:17 2019	1571447417	0	31	31	31
Sat Oct 19 01:10:17 2019	1571447417	0	31	31	31
Sat Oct 19 01:10:15 2019	1571447415	0	31	31	31
Sat Oct 19 01:10:16 2019	1571447416	0	31	31	31
Sat Oct 19 01:10:16 2019	1571447416	0	31	31	31
Sat Oct 19 01:10:16 2019	1571447416	0	31	31	31
Sat Oct 19 01:10:16 2019	1571447416	0	31	31	31
Sat Oct 19 01:10:17 2019	1571447417	0	31	31	31
Sat Oct 19 01:10:17 2019	1571447417	0	31	31	31
Sat Oct 19 01:10:17 2019	1571447417	0	31	31	31
Sat Oct 19 01:10:17 2019	1571447417	0	31	31	31
Sat Oct 19 01:10:17 2019	1571447417	0	31	31	31
Sat Oct 19 01:10:15 2019	1571447415	0	31	31	31
Sat Oct 19 01:10:15 2019	1571447415	0	31	31	31
Sat Oct 19 01:10:15 2019	1571447415	0	31	31	31
Sat Oct 19 01:10:16 2019	1571447416	0	31	32	31
Sat Oct 19 01:10:16 2019	1571447416	0	31	32	31
Sat Oct 19 01:10:17 2019	1571447417	0	31	32	31
Sat Oct 19 01:10:15 2019	1571447415	0	31	32	31
Sat Oct 19 01:10:17 2019	1571447417	0	32	32	31
Sat Oct 19 01:10:16 2019	1571447416	0	32	32	31
Sat Oct 19 01:10:15 2019	1571447415	0	31	32	31
Sat Oct 19 01:10:16 2019	1571447416	0	32	32	31
Sat Oct 19 01:10:15 2019	1571447415	0	32	32	31
Sat Oct 19 01:10:17 2019	1571447417	0	32	32	31
Sat Oct 19 01:10:17 2019	1571447417	0	32	32	32
Sat Oct 19 01:10:17 2019	1571447417	0	32	32	32
Sat Oct 19 01:10:16 2019	1571447416	0	31	32	31
Sat Oct 19 01:10:17 2019	1571447417	0	32	32	32
Sat Oct 19 01:10:15 2019	1571447415	0	32	32	31
Sat Oct 19 01:10:16 2019	1571447416	0	32	32	32
Sat Oct 19 01:10:15 2019	1571447415	0	32	32	32
Sat Oct 19 01:10:17 2019	1571447417	0	32	32	32
Sat Oct 19 01:10:16 2019	1571447416	0	32	32	32
Sat Oct 19 01:10:16 2019	1571447416	0	32	32	32
Sat Oct 19 01:10:17 2019	1571447417	0	32	32	32
Sat Oct 19 01:10:16 2019	1571447416	0	32	32	32
Sat Oct 19 01:10:16 2019	1571447416	0	32	32	32
Sat Oct 19 01:10:18 2019	1571447418	3	29	32	29
Sat Oct 19 01:10:15 2019	1571447415	0	32	32	32
Sat Oct 19 01:10:15 2019	1571447415	0	32	32	32
Sat Oct 19 01:10:16 2019	1571447416	0	32	32	32
Sat Oct 19 01:10:16 2019	1571447416	0	32	32	32
Sat Oct 19 01:10:17 2019	1571447417	0	32	32	32
Sat Oct 19 01:10:17 2019	1571447417	0	32	32	32
Sat Oct 19 01:10:16 2019	1571447416	0	32	32	32
Sat Oct 19 01:10:15 2019	1571447415	0	32	32	32
Sat Oct 19 01:10:17 2019	1571447417	0	32	32	32
Sat Oct 19 01:10:15 2019	1571447415	0	32	32	32
Sat Oct 19 01:10:16 2019	1571447416	0	32	32	32
Sat Oct 19 01:10:15 2019	1571447415	0	32	32	32
Sat Oct 19 01:10:16 2019	1571447416	0	32	32	32
Sat Oct 19 01:10:15 2019	1571447415	0	32	32	32
Sat Oct 19 01:10:15 2019	1571447415	0	32	32	32
Sat Oct 19 01:10:15 2019	1571447415	0	32	32	32
Sat Oct 19 01:10:15 2019	1571447415	0	32	32	32
Sat Oct 19 01:10:15 2019	1571447415	0	32	32	32
Sat Oct 19 01:10:16 2019	1571447416	0	32	32	32
Sat Oct 19 01:10:16 2019	1571447416	0	32	32	32
Sat Oct 19 01:10:15 2019	1571447415	0	32	32	32
Sat Oct 19 01:10:15 2019	1571447415	0	32	32	32
Sat Oct 19 01:10:15 2019	1571447415	0	32	32	32
Sat Oct 19 01:10:16 2019	1571447416	0	32	32	32
Sat Oct 19 01:10:16 2019	1571447416	0	32	32	32
Sat Oct 19 01:10:16 2019	1571447416	0	32	32	32
Sat Oct 19 01:10:18 2019	1571447418	0	32	32	32
Sat Oct 19 01:10:15 2019	1571447415	0	32	32	32
Sat Oct 19 01:10:15 2019	1571447415	0	32	32	32
Sat Oct 19 01:10:17 2019	1571447417	0	32	32	32
Sat Oct 19 01:10:18 2019	1571447418	0	32	32	31
Sat Oct 19 01:10:15 2019	1571447415	0	32	32	32
Sat Oct 19 01:10:15 2019	1571447415	0	32	32	32
Sat Oct 19 01:10:15 2019	1571447415	0	32	32	32
Sat Oct 19 01:10:18 2019	1571447418	0	32	32	31
Sat Oct 19 01:10:15 2019	1571447415	0	32	32	32
Sat Oct 19 01:10:16 2019	1571447416	0	32	32	32
Sat Oct 19 01:10:15 2019	1571447415	0	32	32	32
Sat Oct 19 01:10:17 2019	1571447417	0	32	32	32
Sat Oct 19 01:10:17 2019	1571447417	0	32	32	32
Sat Oct 19 01:10:15 2019	1571447415	0	32	32	32
Sat Oct 19 01:10:17 2019	1571447417	0	32	32	32
Sat Oct 19 01:10:16 2019	1571447416	0	32	32	32
Sat Oct 19 01:10:16 2019	1571447416	0	32	32	32
Sat Oct 19 01:10:18 2019	1571447418	0	32	32	32
Sat Oct 19 01:10:18 2019	1571447418	0	32	32	32
Sat Oct 19 01:10:15 2019	1571447415	0	32	32	32
Sat Oct 19 01:10:18 2019	1571447418	0	32	32	32
Sat Oct 19 01:10:15 2019	1571447415	0	32	32	32
Sat Oct 19 01:10:17 2019	1571447417	0	32	32	32
Sat Oct 19 01:10:15 2019	1571447415	0	32	32	32
Sat Oct 19 01:10:17 2019	1571447417	0	32	32	32
Sat Oct 19 01:10:15 2019	1571447415	0	32	32	32
Sat Oct 19 01:10:15 2019	1571447415	0	32	32	32
Sat Oct 19 01:10:15 2019	1571447415	0	32	32	32
Sat Oct 19 01:10:16 2019	1571447416	0	32	32	32
Sat Oct 19 01:10:15 2019	1571447415	0	32	32	32
Sat Oct 19 01:10:15 2019	1571447415	0	32	32	32
Sat Oct 19 01:10:15 2019	1571447415	0	32	32	32
Sat Oct 19 01:10:16 2019	1571447416	0	32	32	32
Sat Oct 19 01:10:15 2019	1571447415	0	32	32	32
Sat Oct 19 01:10:18 2019	1571447418	0	32	32	32
Sat Oct 19 01:10:15 2019	1571447415	0	32	32	32
Sat Oct 19 01:10:16 2019	1571447416	0	32	32	32
Sat Oct 19 01:10:15 2019	1571447415	0	32	32	32
Sat Oct 19 01:10:15 2019	1571447415	0	32	32	32
Sat Oct 19 01:10:15 2019	1571447415	0	32	32	32
Sat Oct 19 01:10:16 2019	1571447416	0	32	32	32
Sat Oct 19 01:10:15 2019	1571447415	0	32	32	32
Sat Oct 19 01:10:16 2019	1571447416	0	32	32	32
Sat Oct 19 01:10:16 2019	1571447416	0	32	32	32
Sat Oct 19 01:10:15 2019	1571447415	0	32	32	32
Sat Oct 19 01:10:15 2019	1571447415	0	32	32	32
Sat Oct 19 01:10:15 2019	1571447415	0	32	32	32
