Percentage served,Time in ms
0,30.034
1,31.483
2,31.533
3,31.577
4,31.617
5,31.644
6,31.667
7,31.687
8,31.696
9,31.706
10,31.710
11,31.714
12,31.717
13,31.720
14,31.723
15,31.727
16,31.731
17,31.735
18,31.740
19,31.746
20,31.753
21,31.758
22,31.763
23,31.767
24,31.773
25,31.779
26,31.785
27,31.792
28,31.799
29,31.807
30,31.814
31,31.825
32,31.842
33,31.855
34,31.867
35,31.876
36,31.884
37,31.905
38,31.923
39,31.939
40,31.955
41,31.970
42,31.994
43,32.011
44,32.041
45,32.059
46,32.076
47,32.086
48,32.103
49,32.119
50,32.145
51,32.179
52,32.192
53,32.205
54,32.215
55,32.227
56,32.238
57,32.256
58,32.277
59,32.298
60,32.312
61,32.325
62,32.337
63,32.349
64,32.358
65,32.366
66,32.377
67,32.386
68,32.395
69,32.406
70,32.421
71,32.438
72,32.453
73,32.481
74,32.525
75,32.627
76,32.658
77,32.705
78,32.761
79,32.826
80,32.967
81,33.153
82,33.321
83,33.480
84,34.035
85,34.876
86,37.161
87,38.610
88,42.217
89,49.892
90,216.136
91,240.725
92,634.540
93,635.882
94,636.824
95,637.833
96,638.288
97,641.102
98,642.058
99,6889.736
100,6911.123
