starttime	seconds	ctime	dtime	ttime	wait
Sat Oct 19 00:12:20 2019	1571443940	0	10	10	10
Sat Oct 19 00:12:20 2019	1571443940	0	11	11	11
Sat Oct 19 00:12:20 2019	1571443940	0	11	11	11
Sat Oct 19 00:12:20 2019	1571443940	0	11	11	11
Sat Oct 19 00:12:20 2019	1571443940	0	11	12	11
Sat Oct 19 00:12:20 2019	1571443940	0	12	12	12
Sat Oct 19 00:12:20 2019	1571443940	0	12	12	12
Sat Oct 19 00:12:20 2019	1571443940	0	12	12	12
Sat Oct 19 00:12:20 2019	1571443940	0	12	12	12
Sat Oct 19 00:12:20 2019	1571443940	0	12	12	12
Sat Oct 19 00:12:20 2019	1571443940	0	13	13	13
Sat Oct 19 00:12:20 2019	1571443940	0	13	13	13
Sat Oct 19 00:12:20 2019	1571443940	0	13	13	13
Sat Oct 19 00:12:20 2019	1571443940	0	13	13	13
Sat Oct 19 00:12:20 2019	1571443940	0	13	13	13
Sat Oct 19 00:12:20 2019	1571443940	0	13	13	13
Sat Oct 19 00:12:20 2019	1571443940	0	13	14	13
Sat Oct 19 00:12:20 2019	1571443940	0	13	14	13
Sat Oct 19 00:12:20 2019	1571443940	0	14	14	14
Sat Oct 19 00:12:20 2019	1571443940	0	14	14	14
Sat Oct 19 00:12:20 2019	1571443940	0	14	14	14
Sat Oct 19 00:12:20 2019	1571443940	0	14	15	14
Sat Oct 19 00:12:20 2019	1571443940	0	14	15	14
Sat Oct 19 00:12:20 2019	1571443940	0	15	15	15
Sat Oct 19 00:12:20 2019	1571443940	0	15	15	15
Sat Oct 19 00:12:20 2019	1571443940	0	15	15	15
Sat Oct 19 00:12:20 2019	1571443940	0	15	15	15
Sat Oct 19 00:12:20 2019	1571443940	0	15	15	15
Sat Oct 19 00:12:20 2019	1571443940	0	15	15	15
Sat Oct 19 00:12:20 2019	1571443940	0	15	15	15
Sat Oct 19 00:12:20 2019	1571443940	0	15	16	15
Sat Oct 19 00:12:20 2019	1571443940	0	16	16	16
Sat Oct 19 00:12:20 2019	1571443940	0	16	16	16
Sat Oct 19 00:12:20 2019	1571443940	0	16	16	16
Sat Oct 19 00:12:20 2019	1571443940	0	16	16	16
Sat Oct 19 00:12:20 2019	1571443940	0	16	16	16
Sat Oct 19 00:12:20 2019	1571443940	0	17	17	17
Sat Oct 19 00:12:20 2019	1571443940	0	17	17	17
Sat Oct 19 00:12:20 2019	1571443940	0	17	17	17
Sat Oct 19 00:12:20 2019	1571443940	0	17	17	17
Sat Oct 19 00:12:20 2019	1571443940	0	17	17	17
Sat Oct 19 00:12:20 2019	1571443940	0	17	17	16
Sat Oct 19 00:12:20 2019	1571443940	0	17	17	17
Sat Oct 19 00:12:20 2019	1571443940	0	17	17	17
Sat Oct 19 00:12:20 2019	1571443940	0	17	17	17
Sat Oct 19 00:12:20 2019	1571443940	0	17	18	17
Sat Oct 19 00:12:20 2019	1571443940	1	17	18	17
Sat Oct 19 00:12:20 2019	1571443940	1	17	18	17
Sat Oct 19 00:12:20 2019	1571443940	1	18	18	18
Sat Oct 19 00:12:20 2019	1571443940	1	18	18	18
Sat Oct 19 00:12:20 2019	1571443940	1	18	19	18
Sat Oct 19 00:12:20 2019	1571443940	1	18	19	18
Sat Oct 19 00:12:20 2019	1571443940	1	19	19	18
Sat Oct 19 00:12:20 2019	1571443940	1	19	19	19
Sat Oct 19 00:12:20 2019	1571443940	1	19	20	19
