Percentage served,Time in ms
0,30.300
1,31.548
2,31.612
3,31.633
4,31.648
5,31.662
6,31.680
7,31.700
8,31.717
9,31.727
10,31.738
11,31.748
12,31.758
13,31.770
14,31.779
15,31.789
16,31.800
17,31.821
18,31.847
19,31.866
20,31.876
21,31.884
22,31.896
23,31.908
24,31.923
25,31.937
26,31.955
27,31.964
28,31.971
29,31.977
30,31.986
31,31.995
32,32.003
33,32.012
34,32.025
35,32.048
36,32.074
37,32.088
38,32.108
39,32.140
40,32.171
41,32.190
42,32.203
43,32.214
44,32.226
45,32.240
46,32.251
47,32.268
48,32.287
49,32.306
50,32.325
51,32.346
52,32.385
53,32.433
54,32.482
55,32.528
56,32.582
57,32.680
58,32.784
59,32.883
60,32.955
61,33.059
62,33.373
63,33.559
64,34.082
65,34.652
66,34.795
67,35.013
68,35.904
69,37.400
70,38.935
71,41.903
72,44.403
73,50.170
74,59.948
75,68.513
76,232.151
77,733.219
78,736.432
79,737.591
80,738.057
81,739.121
82,739.504
83,741.891
84,747.415
85,781.447
86,7220.385
87,7428.511
88,7455.276
89,7497.416
90,7521.800
91,7699.958
92,7744.910
93,7773.410
94,8171.906
95,8208.375
96,8305.398
97,8337.484
98,9355.664
99,13729.356
100,13759.448
