Percentage served,Time in ms
0,30.181
1,31.039
2,31.071
3,31.086
4,31.100
5,31.113
6,31.132
7,31.146
8,31.169
9,31.218
10,31.281
11,31.302
12,31.315
13,31.330
14,31.342
15,31.351
16,31.371
17,31.401
18,31.566
19,31.702
20,31.719
21,31.730
22,31.739
23,31.754
24,31.770
25,31.809
26,31.870
27,31.926
28,31.954
29,31.971
30,31.990
31,32.023
32,32.038
33,32.054
34,32.072
35,32.087
36,32.100
37,32.115
38,32.132
39,32.149
40,32.170
41,32.190
42,32.207
43,32.228
44,32.255
45,32.279
46,32.304
47,32.317
48,32.340
49,32.357
50,32.379
51,32.408
52,32.462
53,32.527
54,32.617
55,32.693
56,32.745
57,32.817
58,32.885
59,32.934
60,33.003
61,33.094
62,33.159
63,33.220
64,33.322
65,33.578
66,33.754
67,34.285
68,34.609
69,34.929
70,35.302
71,35.489
72,37.281
73,40.114
74,42.169
75,45.698
76,51.143
77,65.463
78,67.974
79,232.687
80,731.568
81,735.627
82,736.939
83,737.351
84,738.537
85,739.410
86,741.689
87,742.110
88,749.163
89,3256.009
90,7320.374
91,7506.808
92,7726.953
93,7755.962
94,8231.037
95,9142.574
96,9742.998
97,10966.659
98,10991.547
99,13624.568
100,14687.474
