Percentage served,Time in ms
0,9.131
1,18.487
2,24.222
3,27.675
4,29.119
5,31.266
6,31.429
7,31.457
8,31.474
9,31.488
10,31.499
11,31.510
12,31.521
13,31.535
14,31.551
15,31.564
16,31.575
17,31.587
18,31.598
19,31.607
20,31.623
21,31.638
22,31.657
23,31.674
24,31.719
25,31.771
26,31.844
27,31.895
28,31.931
29,31.978
30,32.035
31,32.090
32,32.126
33,32.181
34,32.211
35,32.243
36,32.291
37,32.421
38,32.481
39,32.583
40,32.690
41,32.773
42,32.828
43,32.866
44,32.938
45,33.116
46,33.409
47,33.626
48,34.106
49,34.348
50,34.453
51,34.562
52,34.667
53,34.763
54,34.928
55,35.062
56,35.177
57,35.240
58,35.366
59,35.526
60,35.704
61,36.071
62,36.328
63,37.173
64,37.746
65,39.181
66,41.247
67,41.841
68,42.183
69,44.439
70,47.084
71,49.745
72,51.088
73,57.373
74,61.261
75,67.857
76,123.283
77,125.222
78,232.143
79,827.401
80,831.639
81,834.456
82,836.545
83,837.296
84,838.025
85,838.308
86,838.728
87,839.206
88,839.449
89,839.898
90,841.510
91,842.407
92,849.054
93,861.923
94,934.289
95,7547.742
96,13658.544
97,14412.788
98,14918.806
99,32645.581
100,33580.805
