Percentage served,Time in ms
0,25.336
1,31.250
2,31.429
3,31.479
4,31.507
5,31.531
6,31.548
7,31.560
8,31.569
9,31.579
10,31.589
11,31.599
12,31.609
13,31.621
14,31.638
15,31.653
16,31.666
17,31.688
18,31.702
19,31.713
20,31.723
21,31.738
22,31.765
23,31.802
24,31.819
25,31.833
26,31.842
27,31.855
28,31.862
29,31.869
30,31.877
31,31.885
32,31.901
33,31.921
34,31.949
35,31.982
36,32.069
37,32.119
38,32.153
39,32.182
40,32.207
41,32.226
42,32.258
43,32.320
44,32.354
45,32.381
46,32.407
47,32.437
48,32.458
49,32.477
50,32.506
51,32.566
52,32.645
53,32.690
54,32.713
55,32.738
56,32.763
57,32.808
58,32.859
59,32.905
60,32.946
61,32.990
62,33.035
63,33.134
64,33.236
65,33.335
66,33.461
67,34.555
68,35.033
69,35.700
70,36.302
71,36.736
72,37.399
73,40.821
74,41.888
75,44.530
76,50.582
77,64.860
78,85.765
79,234.562
80,733.800
81,736.754
82,736.953
83,738.409
84,739.160
85,739.689
86,742.589
87,747.652
88,777.433
89,7298.019
90,7328.689
91,7512.401
92,7546.430
93,7773.779
94,8235.347
95,8259.447
96,9220.009
97,11086.243
98,13576.219
99,14917.628
100,14945.207
