starttime	seconds	ctime	dtime	ttime	wait
Sat Oct 19 02:06:25 2019	1571450785	0	24	25	24
Sat Oct 19 02:06:25 2019	1571450785	0	25	25	25
Sat Oct 19 02:06:25 2019	1571450785	0	25	25	25
Sat Oct 19 02:06:25 2019	1571450785	0	25	25	25
Sat Oct 19 02:06:25 2019	1571450785	0	25	26	25
Sat Oct 19 02:06:25 2019	1571450785	0	25	26	25
Sat Oct 19 02:06:25 2019	1571450785	0	26	26	26
Sat Oct 19 02:06:25 2019	1571450785	0	26	26	26
Sat Oct 19 02:06:25 2019	1571450785	0	26	26	26
Sat Oct 19 02:06:25 2019	1571450785	0	26	26	26
Sat Oct 19 02:06:25 2019	1571450785	0	26	26	26
Sat Oct 19 02:06:25 2019	1571450785	0	26	26	26
Sat Oct 19 02:06:25 2019	1571450785	0	26	26	26
Sat Oct 19 02:06:25 2019	1571450785	0	26	26	26
Sat Oct 19 02:06:25 2019	1571450785	0	26	26	26
Sat Oct 19 02:06:25 2019	1571450785	0	27	27	27
Sat Oct 19 02:06:25 2019	1571450785	0	27	27	27
Sat Oct 19 02:06:25 2019	1571450785	0	27	27	27
Sat Oct 19 02:06:25 2019	1571450785	0	27	27	27
Sat Oct 19 02:06:25 2019	1571450785	0	27	27	27
Sat Oct 19 02:06:25 2019	1571450785	0	27	27	27
Sat Oct 19 02:06:25 2019	1571450785	0	27	27	27
Sat Oct 19 02:06:25 2019	1571450785	0	27	27	27
Sat Oct 19 02:06:25 2019	1571450785	0	27	28	27
Sat Oct 19 02:06:25 2019	1571450785	0	27	28	27
Sat Oct 19 02:06:25 2019	1571450785	0	28	28	28
Sat Oct 19 02:06:25 2019	1571450785	0	28	28	28
Sat Oct 19 02:06:25 2019	1571450785	0	28	28	28
Sat Oct 19 02:06:25 2019	1571450785	0	28	28	28
Sat Oct 19 02:06:25 2019	1571450785	0	28	28	28
Sat Oct 19 02:06:25 2019	1571450785	0	29	29	29
Sat Oct 19 02:06:25 2019	1571450785	0	29	29	29
Sat Oct 19 02:06:25 2019	1571450785	0	29	29	29
Sat Oct 19 02:06:25 2019	1571450785	0	29	29	29
Sat Oct 19 02:06:25 2019	1571450785	0	29	29	29
Sat Oct 19 02:06:25 2019	1571450785	0	28	29	28
Sat Oct 19 02:06:25 2019	1571450785	0	29	29	29
Sat Oct 19 02:06:25 2019	1571450785	0	28	29	28
