Percentage served,Time in ms
0,24.389
1,30.820
2,31.011
3,31.038
4,31.062
5,31.084
6,31.142
7,31.276
8,31.302
9,31.354
10,31.471
11,31.553
12,31.582
13,31.595
14,31.604
15,31.616
16,31.629
17,31.645
18,31.659
19,31.671
20,31.686
21,31.699
22,31.711
23,31.721
24,31.733
25,31.750
26,31.767
27,31.794
28,31.822
29,31.842
30,31.859
31,31.870
32,31.883
33,31.895
34,31.906
35,31.915
36,31.921
37,31.929
38,31.936
39,31.945
40,31.954
41,31.965
42,31.972
43,31.979
44,31.987
45,31.994
46,32.002
47,32.010
48,32.017
49,32.025
50,32.039
51,32.059
52,32.088
53,32.122
54,32.156
55,32.171
56,32.183
57,32.192
58,32.201
59,32.211
60,32.217
61,32.226
62,32.236
63,32.253
64,32.264
65,32.287
66,32.309
67,32.340
68,32.365
69,32.400
70,32.430
71,32.451
72,32.466
73,32.482
74,32.499
75,32.515
76,32.541
77,32.580
78,32.639
79,32.708
80,32.791
81,32.924
82,33.085
83,33.259
84,33.591
85,34.933
86,37.073
87,37.986
88,41.209
89,41.736
90,50.104
91,221.862
92,243.387
93,635.797
94,636.971
95,637.452
96,638.651
97,639.418
98,641.926
99,6896.804
100,6921.164
