starttime	seconds	ctime	dtime	ttime	wait
Sat Oct 19 00:08:36 2019	1571443716	0	10	10	10
Sat Oct 19 00:08:36 2019	1571443716	0	11	11	11
Sat Oct 19 00:08:36 2019	1571443716	0	11	11	11
Sat Oct 19 00:08:36 2019	1571443716	0	11	11	11
Sat Oct 19 00:08:36 2019	1571443716	0	11	11	11
Sat Oct 19 00:08:36 2019	1571443716	0	11	11	11
Sat Oct 19 00:08:38 2019	1571443718	0	11	12	11
Sat Oct 19 00:08:36 2019	1571443716	0	12	12	11
Sat Oct 19 00:08:38 2019	1571443718	0	12	12	12
Sat Oct 19 00:08:38 2019	1571443718	0	12	12	12
Sat Oct 19 00:08:38 2019	1571443718	0	12	12	12
Sat Oct 19 00:08:38 2019	1571443718	0	11	12	11
Sat Oct 19 00:08:36 2019	1571443716	0	12	12	12
Sat Oct 19 00:08:36 2019	1571443716	0	12	12	12
Sat Oct 19 00:08:38 2019	1571443718	0	12	12	12
Sat Oct 19 00:08:36 2019	1571443716	0	12	12	12
Sat Oct 19 00:08:36 2019	1571443716	0	12	12	12
Sat Oct 19 00:08:36 2019	1571443716	0	12	12	12
Sat Oct 19 00:08:36 2019	1571443716	0	12	12	12
Sat Oct 19 00:08:36 2019	1571443716	0	12	12	12
Sat Oct 19 00:08:36 2019	1571443716	0	12	12	12
Sat Oct 19 00:08:36 2019	1571443716	0	12	12	12
Sat Oct 19 00:08:36 2019	1571443716	0	12	12	12
Sat Oct 19 00:08:36 2019	1571443716	0	12	12	12
Sat Oct 19 00:08:38 2019	1571443718	0	12	12	12
Sat Oct 19 00:08:38 2019	1571443718	0	12	12	12
Sat Oct 19 00:08:38 2019	1571443718	0	13	13	13
Sat Oct 19 00:08:38 2019	1571443718	0	13	13	13
Sat Oct 19 00:08:38 2019	1571443718	0	13	13	13
Sat Oct 19 00:08:36 2019	1571443716	0	13	13	13
Sat Oct 19 00:08:36 2019	1571443716	0	13	13	13
Sat Oct 19 00:08:36 2019	1571443716	0	13	13	13
