starttime	seconds	ctime	dtime	ttime	wait
Sat Oct 19 04:23:46 2019	1571459026	0	29	29	29
Sat Oct 19 04:23:46 2019	1571459026	0	30	30	30
Sat Oct 19 04:23:46 2019	1571459026	0	30	30	30
Sat Oct 19 04:23:46 2019	1571459026	0	30	30	30
Sat Oct 19 04:23:46 2019	1571459026	0	30	30	30
Sat Oct 19 04:23:46 2019	1571459026	0	30	30	30
Sat Oct 19 04:23:46 2019	1571459026	0	30	30	30
Sat Oct 19 04:23:46 2019	1571459026	0	30	30	30
Sat Oct 19 04:23:46 2019	1571459026	0	30	30	30
Sat Oct 19 04:23:46 2019	1571459026	0	30	31	30
Sat Oct 19 04:23:43 2019	1571459023	0	30	31	30
Sat Oct 19 04:23:46 2019	1571459026	0	30	31	30
Sat Oct 19 04:23:43 2019	1571459023	0	31	31	31
Sat Oct 19 04:23:46 2019	1571459026	0	31	31	31
Sat Oct 19 04:23:46 2019	1571459026	0	31	31	31
Sat Oct 19 04:23:46 2019	1571459026	0	31	31	31
Sat Oct 19 04:23:43 2019	1571459023	0	31	31	31
Sat Oct 19 04:23:43 2019	1571459023	0	31	31	31
Sat Oct 19 04:23:43 2019	1571459023	0	31	31	31
Sat Oct 19 04:23:46 2019	1571459026	0	31	31	31
Sat Oct 19 04:23:46 2019	1571459026	0	31	31	31
Sat Oct 19 04:23:43 2019	1571459023	0	31	31	31
Sat Oct 19 04:23:43 2019	1571459023	0	31	31	31
Sat Oct 19 04:23:43 2019	1571459023	0	31	31	31
Sat Oct 19 04:23:43 2019	1571459023	0	31	31	31
Sat Oct 19 04:23:43 2019	1571459023	0	31	31	31
Sat Oct 19 04:23:43 2019	1571459023	0	31	31	31
Sat Oct 19 04:23:43 2019	1571459023	0	31	31	31
Sat Oct 19 04:23:46 2019	1571459026	0	31	31	31
Sat Oct 19 04:23:43 2019	1571459023	0	31	31	31
Sat Oct 19 04:23:46 2019	1571459026	0	31	31	31
Sat Oct 19 04:23:43 2019	1571459023	0	31	31	31
Sat Oct 19 04:23:43 2019	1571459023	0	31	31	31
Sat Oct 19 04:23:43 2019	1571459023	0	31	31	31
Sat Oct 19 04:23:43 2019	1571459023	0	31	31	31
Sat Oct 19 04:23:43 2019	1571459023	0	31	31	31
Sat Oct 19 04:23:43 2019	1571459023	0	31	31	31
Sat Oct 19 04:23:43 2019	1571459023	0	31	31	31
Sat Oct 19 04:23:43 2019	1571459023	0	31	31	31
Sat Oct 19 04:23:46 2019	1571459026	0	31	31	31
Sat Oct 19 04:23:43 2019	1571459023	0	31	31	31
Sat Oct 19 04:23:43 2019	1571459023	0	31	31	31
Sat Oct 19 04:23:43 2019	1571459023	0	31	31	31
Sat Oct 19 04:23:43 2019	1571459023	0	31	31	31
Sat Oct 19 04:23:43 2019	1571459023	0	31	31	31
Sat Oct 19 04:23:43 2019	1571459023	0	31	31	31
Sat Oct 19 04:23:43 2019	1571459023	0	31	31	31
Sat Oct 19 04:23:43 2019	1571459023	0	31	31	31
Sat Oct 19 04:23:43 2019	1571459023	0	31	31	31
Sat Oct 19 04:23:43 2019	1571459023	0	31	31	31
Sat Oct 19 04:23:43 2019	1571459023	0	31	31	31
Sat Oct 19 04:23:43 2019	1571459023	0	31	31	31
Sat Oct 19 04:23:43 2019	1571459023	0	31	31	31
Sat Oct 19 04:23:43 2019	1571459023	0	31	31	31
Sat Oct 19 04:23:43 2019	1571459023	0	31	31	31
Sat Oct 19 04:23:43 2019	1571459023	0	31	31	31
Sat Oct 19 04:23:43 2019	1571459023	0	31	31	31
Sat Oct 19 04:23:43 2019	1571459023	0	31	31	31
Sat Oct 19 04:23:43 2019	1571459023	0	31	31	31
Sat Oct 19 04:23:46 2019	1571459026	0	31	31	31
Sat Oct 19 04:23:43 2019	1571459023	0	31	31	31
Sat Oct 19 04:23:43 2019	1571459023	0	31	31	31
Sat Oct 19 04:23:43 2019	1571459023	0	31	31	31
Sat Oct 19 04:23:43 2019	1571459023	0	31	31	31
Sat Oct 19 04:23:43 2019	1571459023	0	31	31	31
Sat Oct 19 04:23:43 2019	1571459023	0	31	31	31
Sat Oct 19 04:23:43 2019	1571459023	0	31	31	31
