Percentage served,Time in ms
0,9.460
1,18.800
2,24.517
3,31.457
4,31.700
5,31.721
6,31.733
7,31.750
8,31.772
9,31.788
10,31.802
11,31.810
12,31.818
13,31.830
14,31.842
15,31.863
16,31.901
17,31.960
18,31.987
19,32.004
20,32.018
21,32.034
22,32.047
23,32.064
24,32.083
25,32.129
26,32.184
27,32.230
28,32.334
29,32.371
30,32.409
31,32.426
32,32.458
33,32.486
34,32.527
35,32.629
36,32.701
37,32.854
38,32.939
39,33.055
40,33.158
41,33.219
42,33.337
43,33.516
44,34.047
45,34.310
46,34.506
47,34.625
48,34.689
49,34.746
50,34.832
51,34.886
52,34.929
53,34.974
54,35.072
55,35.161
56,35.202
57,35.265
58,35.340
59,35.402
60,35.489
61,35.660
62,36.240
63,36.691
64,37.244
65,37.848
66,39.020
67,40.292
68,41.615
69,42.212
70,44.564
71,46.619
72,49.137
73,50.941
74,52.335
75,64.149
76,65.927
77,85.996
78,86.384
79,234.774
80,833.289
81,836.382
82,837.390
83,838.046
84,838.390
85,839.054
86,839.326
87,839.819
88,840.021
89,840.406
90,842.455
91,842.855
92,848.729
93,854.611
94,871.834
95,1048.428
96,13665.628
97,13962.549
98,13995.193
99,32591.005
100,33502.321
