starttime	seconds	ctime	dtime	ttime	wait
Sat Oct 19 02:50:30 2019	1571453430	0	28	28	28
Sat Oct 19 02:50:30 2019	1571453430	0	28	28	28
Sat Oct 19 02:50:30 2019	1571453430	0	29	29	29
Sat Oct 19 02:50:30 2019	1571453430	0	29	29	29
Sat Oct 19 02:50:30 2019	1571453430	0	29	29	29
Sat Oct 19 02:50:30 2019	1571453430	0	29	29	29
Sat Oct 19 02:50:30 2019	1571453430	0	29	29	29
Sat Oct 19 02:50:30 2019	1571453430	0	29	29	29
Sat Oct 19 02:50:30 2019	1571453430	0	29	29	29
Sat Oct 19 02:50:30 2019	1571453430	0	29	29	29
Sat Oct 19 02:50:30 2019	1571453430	0	29	30	29
Sat Oct 19 02:50:29 2019	1571453429	0	30	30	29
Sat Oct 19 02:50:30 2019	1571453430	0	30	30	30
Sat Oct 19 02:50:30 2019	1571453430	0	30	30	30
Sat Oct 19 02:50:30 2019	1571453430	0	30	30	30
Sat Oct 19 02:50:30 2019	1571453430	0	30	30	30
Sat Oct 19 02:50:29 2019	1571453429	0	30	30	30
Sat Oct 19 02:50:30 2019	1571453430	0	30	30	30
Sat Oct 19 02:50:31 2019	1571453431	0	30	30	30
Sat Oct 19 02:50:30 2019	1571453430	0	30	30	30
Sat Oct 19 02:50:29 2019	1571453429	0	30	30	30
Sat Oct 19 02:50:31 2019	1571453431	0	30	30	30
Sat Oct 19 02:50:28 2019	1571453428	0	30	30	30
Sat Oct 19 02:50:30 2019	1571453430	0	30	30	30
Sat Oct 19 02:50:29 2019	1571453429	0	30	30	30
Sat Oct 19 02:50:31 2019	1571453431	0	30	30	30
Sat Oct 19 02:50:29 2019	1571453429	0	30	30	30
Sat Oct 19 02:50:29 2019	1571453429	0	30	30	30
Sat Oct 19 02:50:29 2019	1571453429	0	30	30	30
Sat Oct 19 02:50:28 2019	1571453428	0	30	30	30
Sat Oct 19 02:50:30 2019	1571453430	0	30	31	30
Sat Oct 19 02:50:29 2019	1571453429	0	30	31	30
Sat Oct 19 02:50:28 2019	1571453428	0	30	31	30
Sat Oct 19 02:50:31 2019	1571453431	0	30	31	30
Sat Oct 19 02:50:28 2019	1571453428	0	31	31	30
Sat Oct 19 02:50:30 2019	1571453430	0	31	31	31
Sat Oct 19 02:50:29 2019	1571453429	0	31	31	31
Sat Oct 19 02:50:27 2019	1571453427	0	31	31	31
Sat Oct 19 02:50:28 2019	1571453428	0	31	31	31
Sat Oct 19 02:50:31 2019	1571453431	0	31	31	31
Sat Oct 19 02:50:30 2019	1571453430	0	31	31	31
Sat Oct 19 02:50:30 2019	1571453430	0	31	31	31
Sat Oct 19 02:50:30 2019	1571453430	0	31	31	31
Sat Oct 19 02:50:30 2019	1571453430	0	31	31	31
Sat Oct 19 02:50:31 2019	1571453431	0	31	31	31
Sat Oct 19 02:50:29 2019	1571453429	0	31	31	31
Sat Oct 19 02:50:28 2019	1571453428	0	31	31	31
Sat Oct 19 02:50:31 2019	1571453431	0	31	31	31
Sat Oct 19 02:50:31 2019	1571453431	0	31	31	31
Sat Oct 19 02:50:30 2019	1571453430	0	31	31	31
Sat Oct 19 02:50:27 2019	1571453427	0	31	31	31
Sat Oct 19 02:50:28 2019	1571453428	0	31	31	31
Sat Oct 19 02:50:28 2019	1571453428	0	31	31	31
Sat Oct 19 02:50:29 2019	1571453429	0	31	31	31
Sat Oct 19 02:50:28 2019	1571453428	0	31	31	31
Sat Oct 19 02:50:28 2019	1571453428	0	31	31	31
Sat Oct 19 02:50:30 2019	1571453430	0	31	31	31
Sat Oct 19 02:50:27 2019	1571453427	0	31	31	31
Sat Oct 19 02:50:28 2019	1571453428	0	31	31	31
Sat Oct 19 02:50:29 2019	1571453429	0	31	31	31
Sat Oct 19 02:50:28 2019	1571453428	0	31	31	31
Sat Oct 19 02:50:29 2019	1571453429	0	31	31	31
Sat Oct 19 02:50:31 2019	1571453431	0	31	31	31
Sat Oct 19 02:50:26 2019	1571453426	0	31	31	31
Sat Oct 19 02:50:29 2019	1571453429	0	31	31	31
Sat Oct 19 02:50:29 2019	1571453429	0	31	31	31
Sat Oct 19 02:50:29 2019	1571453429	0	31	31	31
Sat Oct 19 02:50:26 2019	1571453426	0	31	31	31
Sat Oct 19 02:50:31 2019	1571453431	0	31	31	31
Sat Oct 19 02:50:29 2019	1571453429	0	31	31	31
Sat Oct 19 02:50:27 2019	1571453427	0	31	31	31
