starttime	seconds	ctime	dtime	ttime	wait
Sat Oct 19 02:13:01 2019	1571451181	0	18	18	18
Sat Oct 19 02:13:01 2019	1571451181	0	18	18	18
Sat Oct 19 02:13:00 2019	1571451180	0	18	18	18
Sat Oct 19 02:13:00 2019	1571451180	0	18	19	18
Sat Oct 19 02:13:01 2019	1571451181	0	18	19	18
Sat Oct 19 02:13:01 2019	1571451181	0	19	19	19
Sat Oct 19 02:13:00 2019	1571451180	0	19	19	19
Sat Oct 19 02:13:01 2019	1571451181	0	19	19	19
Sat Oct 19 02:13:00 2019	1571451180	0	19	19	19
Sat Oct 19 02:13:01 2019	1571451181	0	19	19	19
Sat Oct 19 02:13:00 2019	1571451180	0	19	19	19
Sat Oct 19 02:13:01 2019	1571451181	0	19	20	19
Sat Oct 19 02:13:00 2019	1571451180	0	19	20	19
Sat Oct 19 02:13:01 2019	1571451181	0	19	20	19
Sat Oct 19 02:13:00 2019	1571451180	0	20	20	20
Sat Oct 19 02:13:01 2019	1571451181	0	20	20	20
Sat Oct 19 02:13:00 2019	1571451180	0	20	20	20
Sat Oct 19 02:13:01 2019	1571451181	0	20	20	20
Sat Oct 19 02:13:00 2019	1571451180	0	20	20	20
Sat Oct 19 02:13:01 2019	1571451181	0	20	20	20
Sat Oct 19 02:13:01 2019	1571451181	0	20	20	20
Sat Oct 19 02:13:00 2019	1571451180	0	20	20	20
Sat Oct 19 02:13:01 2019	1571451181	0	21	21	21
Sat Oct 19 02:13:00 2019	1571451180	0	21	21	21
Sat Oct 19 02:13:01 2019	1571451181	0	21	21	21
Sat Oct 19 02:13:00 2019	1571451180	0	21	21	21
Sat Oct 19 02:13:01 2019	1571451181	0	21	21	21
Sat Oct 19 02:13:00 2019	1571451180	0	21	21	21
Sat Oct 19 02:13:01 2019	1571451181	0	21	21	21
Sat Oct 19 02:13:00 2019	1571451180	0	21	21	21
Sat Oct 19 02:13:01 2019	1571451181	0	21	21	21
Sat Oct 19 02:13:00 2019	1571451180	0	21	21	21
Sat Oct 19 02:13:01 2019	1571451181	0	21	22	21
Sat Oct 19 02:13:00 2019	1571451180	0	22	22	21
Sat Oct 19 02:13:00 2019	1571451180	0	22	22	22
Sat Oct 19 02:13:01 2019	1571451181	0	22	22	22
Sat Oct 19 02:13:00 2019	1571451180	0	22	22	22
Sat Oct 19 02:13:00 2019	1571451180	0	22	22	22
Sat Oct 19 02:13:00 2019	1571451180	0	22	22	22
Sat Oct 19 02:13:00 2019	1571451180	0	22	22	22
Sat Oct 19 02:13:01 2019	1571451181	0	22	22	22
Sat Oct 19 02:13:01 2019	1571451181	0	22	22	22
Sat Oct 19 02:13:00 2019	1571451180	0	22	22	22
Sat Oct 19 02:13:00 2019	1571451180	0	22	22	22
Sat Oct 19 02:13:00 2019	1571451180	0	22	22	22
Sat Oct 19 02:13:01 2019	1571451181	0	22	22	22
Sat Oct 19 02:13:01 2019	1571451181	0	22	22	22
Sat Oct 19 02:13:00 2019	1571451180	0	22	22	22
Sat Oct 19 02:13:00 2019	1571451180	0	22	22	22
Sat Oct 19 02:13:01 2019	1571451181	0	22	22	22
Sat Oct 19 02:13:01 2019	1571451181	0	22	22	22
Sat Oct 19 02:13:01 2019	1571451181	0	22	22	22
Sat Oct 19 02:13:00 2019	1571451180	0	22	22	22
