Percentage served,Time in ms
0,28.235
1,31.240
2,31.301
3,31.322
4,31.340
5,31.358
6,31.377
7,31.422
8,31.523
9,31.554
10,31.604
11,31.639
12,31.669
13,31.692
14,31.707
15,31.722
16,31.733
17,31.742
18,31.750
19,31.759
20,31.769
21,31.779
22,31.790
23,31.803
24,31.812
25,31.820
26,31.829
27,31.838
28,31.850
29,31.862
30,31.874
31,31.888
32,31.914
33,31.937
34,31.949
35,31.959
36,31.973
37,31.992
38,32.005
39,32.019
40,32.036
41,32.050
42,32.062
43,32.076
44,32.092
45,32.110
46,32.132
47,32.166
48,32.222
49,32.271
50,32.325
51,32.373
52,32.403
53,32.425
54,32.454
55,32.470
56,32.496
57,32.541
58,32.640
59,32.708
60,32.775
61,32.868
62,32.928
63,33.011
64,33.077
65,33.123
66,33.194
67,33.349
68,33.504
69,33.644
70,33.832
71,34.066
72,34.354
73,34.537
74,34.713
75,34.949
76,35.233
77,35.734
78,36.362
79,37.036
80,37.604
81,40.652
82,41.930
83,43.653
84,46.608
85,50.595
86,66.791
87,122.647
88,125.524
89,228.010
90,732.979
91,736.488
92,737.252
93,738.145
94,738.481
95,738.887
96,739.770
97,742.790
98,747.954
99,13489.117
100,13529.679
