Percentage served,Time in ms
0,13.304
1,20.283
2,25.894
3,27.318
4,31.101
5,31.215
6,31.257
7,31.318
8,31.371
9,31.385
10,31.402
11,31.417
12,31.425
13,31.445
14,31.480
15,31.505
16,31.602
17,31.701
18,31.747
19,31.779
20,31.800
21,31.828
22,31.866
23,31.913
24,31.941
25,31.959
26,31.982
27,32.004
28,32.036
29,32.092
30,32.186
31,32.236
32,32.295
33,32.339
34,32.380
35,32.452
36,32.518
37,32.569
38,32.646
39,32.880
40,32.968
41,33.039
42,33.116
43,33.319
44,33.514
45,33.747
46,34.132
47,34.386
48,34.601
49,34.687
50,34.794
51,34.937
52,35.064
53,35.140
54,35.192
55,35.238
56,35.283
57,35.327
58,35.374
59,35.422
60,35.577
61,36.004
62,36.149
63,36.338
64,36.552
65,36.952
66,37.367
67,37.644
68,38.903
69,39.814
70,41.311
71,42.476
72,43.322
73,47.401
74,50.639
75,56.773
76,65.630
77,216.892
78,238.697
79,317.356
80,834.321
81,837.096
82,837.875
83,838.267
84,838.793
85,839.205
86,839.304
87,839.928
88,841.258
89,842.935
90,843.223
91,844.158
92,848.819
93,860.734
94,864.177
95,2711.619
96,13523.404
97,14523.688
98,14770.336
99,32675.601
100,33684.701
