Percentage served,Time in ms
0,28.060
1,31.404
2,31.447
3,31.491
4,31.516
5,31.542
6,31.583
7,31.624
8,31.655
9,31.675
10,31.690
11,31.705
12,31.721
13,31.731
14,31.745
15,31.761
16,31.776
17,31.792
18,31.811
19,31.836
20,31.863
21,31.882
22,31.915
23,31.946
24,31.967
25,31.986
26,32.004
27,32.060
28,32.129
29,32.179
30,32.243
31,32.394
32,32.476
33,32.561
34,32.629
35,32.700
36,32.798
37,32.964
38,33.064
39,33.195
40,33.354
41,33.860
42,34.063
43,34.284
44,34.533
45,34.632
46,34.730
47,34.876
48,34.942
49,34.975
50,35.014
51,35.052
52,35.081
53,35.108
54,35.136
55,35.174
56,35.211
57,35.259
58,35.298
59,35.359
60,35.469
61,35.763
62,35.939
63,36.167
64,36.467
65,37.058
66,37.657
67,38.194
68,39.891
69,41.158
70,42.344
71,45.196
72,49.111
73,50.994
74,62.654
75,66.194
76,189.846
77,215.033
78,237.183
79,835.004
80,836.860
81,838.031
82,838.356
83,839.129
84,839.425
85,839.540
86,839.656
87,839.834
88,840.284
89,840.503
90,842.933
91,843.347
92,848.491
93,852.128
94,1855.168
95,13562.693
96,13595.647
97,14343.601
98,14850.743
99,32572.662
100,33600.914
