starttime	seconds	ctime	dtime	ttime	wait
Sat Oct 19 05:22:30 2019	1571462550	0	28	28	28
Sat Oct 19 05:22:30 2019	1571462550	0	28	28	28
Sat Oct 19 05:22:30 2019	1571462550	0	28	28	28
Sat Oct 19 05:22:30 2019	1571462550	0	28	29	28
Sat Oct 19 05:22:30 2019	1571462550	0	29	29	29
Sat Oct 19 05:22:30 2019	1571462550	0	29	29	29
Sat Oct 19 05:22:30 2019	1571462550	0	29	29	29
Sat Oct 19 05:22:29 2019	1571462549	0	29	29	29
Sat Oct 19 05:22:30 2019	1571462550	0	29	29	29
Sat Oct 19 05:22:30 2019	1571462550	0	29	29	29
Sat Oct 19 05:22:30 2019	1571462550	0	29	29	29
Sat Oct 19 05:22:30 2019	1571462550	0	29	29	29
Sat Oct 19 05:22:29 2019	1571462549	0	29	29	29
Sat Oct 19 05:22:30 2019	1571462550	0	30	30	29
Sat Oct 19 05:22:30 2019	1571462550	0	30	30	30
Sat Oct 19 05:22:29 2019	1571462549	0	30	30	29
Sat Oct 19 05:22:30 2019	1571462550	0	30	30	30
Sat Oct 19 05:22:30 2019	1571462550	0	30	30	30
Sat Oct 19 05:22:30 2019	1571462550	0	29	30	29
Sat Oct 19 05:22:29 2019	1571462549	0	30	30	30
Sat Oct 19 05:22:29 2019	1571462549	0	30	30	30
Sat Oct 19 05:22:30 2019	1571462550	0	30	30	30
Sat Oct 19 05:22:28 2019	1571462548	0	30	30	30
Sat Oct 19 05:22:29 2019	1571462549	0	30	30	30
Sat Oct 19 05:22:29 2019	1571462549	0	30	30	30
Sat Oct 19 05:22:30 2019	1571462550	0	30	30	30
Sat Oct 19 05:22:26 2019	1571462546	0	30	30	30
Sat Oct 19 05:22:28 2019	1571462548	0	30	30	30
Sat Oct 19 05:22:29 2019	1571462549	0	30	30	30
Sat Oct 19 05:22:29 2019	1571462549	0	30	30	30
Sat Oct 19 05:22:30 2019	1571462550	0	30	30	30
Sat Oct 19 05:22:27 2019	1571462547	0	30	30	30
Sat Oct 19 05:22:26 2019	1571462546	0	30	30	30
Sat Oct 19 05:22:29 2019	1571462549	0	30	30	30
Sat Oct 19 05:22:26 2019	1571462546	0	30	30	30
Sat Oct 19 05:22:28 2019	1571462548	0	30	30	30
Sat Oct 19 05:22:27 2019	1571462547	0	30	30	30
Sat Oct 19 05:22:30 2019	1571462550	0	30	30	30
Sat Oct 19 05:22:30 2019	1571462550	0	30	30	30
Sat Oct 19 05:22:28 2019	1571462548	0	30	30	30
Sat Oct 19 05:22:26 2019	1571462546	0	30	31	30
Sat Oct 19 05:22:28 2019	1571462548	0	31	31	30
Sat Oct 19 05:22:29 2019	1571462549	0	30	31	30
Sat Oct 19 05:22:28 2019	1571462548	0	31	31	31
Sat Oct 19 05:22:29 2019	1571462549	0	31	31	31
Sat Oct 19 05:22:27 2019	1571462547	0	31	31	31
Sat Oct 19 05:22:30 2019	1571462550	0	31	31	31
Sat Oct 19 05:22:30 2019	1571462550	0	30	31	30
Sat Oct 19 05:22:28 2019	1571462548	0	30	31	30
Sat Oct 19 05:22:29 2019	1571462549	0	31	31	31
Sat Oct 19 05:22:26 2019	1571462546	0	31	31	31
Sat Oct 19 05:22:26 2019	1571462546	0	31	31	31
Sat Oct 19 05:22:29 2019	1571462549	0	31	31	31
Sat Oct 19 05:22:28 2019	1571462548	0	31	31	31
Sat Oct 19 05:22:26 2019	1571462546	0	31	31	31
Sat Oct 19 05:22:29 2019	1571462549	0	31	31	31
Sat Oct 19 05:22:30 2019	1571462550	0	31	31	31
Sat Oct 19 05:22:27 2019	1571462547	0	31	31	31
Sat Oct 19 05:22:30 2019	1571462550	0	31	31	31
Sat Oct 19 05:22:29 2019	1571462549	0	31	31	31
Sat Oct 19 05:22:27 2019	1571462547	0	31	31	31
Sat Oct 19 05:22:30 2019	1571462550	0	31	31	31
Sat Oct 19 05:22:30 2019	1571462550	0	31	31	31
Sat Oct 19 05:22:30 2019	1571462550	0	31	31	31
Sat Oct 19 05:22:30 2019	1571462550	0	31	31	31
Sat Oct 19 05:22:28 2019	1571462548	0	31	31	31
Sat Oct 19 05:22:30 2019	1571462550	0	31	31	31
Sat Oct 19 05:22:29 2019	1571462549	0	31	31	31
Sat Oct 19 05:22:26 2019	1571462546	0	31	31	31
Sat Oct 19 05:22:28 2019	1571462548	0	31	31	31
Sat Oct 19 05:22:28 2019	1571462548	0	31	31	31
Sat Oct 19 05:22:29 2019	1571462549	0	31	31	31
Sat Oct 19 05:22:29 2019	1571462549	0	31	31	31
Sat Oct 19 05:22:26 2019	1571462546	0	31	31	31
