Percentage served,Time in ms
0,9.819
1,24.328
2,27.674
3,29.967
4,31.043
5,31.322
6,31.374
7,31.473
8,31.589
9,31.632
10,31.654
11,31.681
12,31.702
13,31.714
14,31.725
15,31.735
16,31.756
17,31.774
18,31.789
19,31.807
20,31.828
21,31.869
22,31.902
23,31.935
24,31.971
25,32.002
26,32.031
27,32.055
28,32.101
29,32.176
30,32.221
31,32.271
32,32.365
33,32.412
34,32.443
35,32.478
36,32.535
37,32.608
38,32.705
39,32.763
40,32.827
41,32.890
42,33.022
43,33.253
44,33.431
45,33.658
46,34.281
47,34.563
48,34.662
49,34.728
50,34.775
51,34.856
52,34.937
53,35.052
54,35.178
55,35.231
56,35.280
57,35.338
58,35.391
59,35.432
60,35.471
61,35.519
62,35.568
63,35.613
64,35.684
65,35.855
66,36.456
67,37.467
68,38.070
69,38.337
70,38.603
71,40.243
72,41.762
73,44.076
74,44.355
75,46.692
76,48.522
77,51.188
78,54.609
79,62.696
80,66.125
81,195.927
82,222.361
83,830.067
84,834.538
85,835.769
86,837.126
87,838.020
88,838.524
89,839.090
90,839.504
91,839.672
92,839.843
93,840.358
94,840.790
95,842.770
96,848.057
97,859.368
98,866.788
99,13575.861
100,13606.041
