Percentage served,Time in ms
0,18.470
1,31.328
2,31.428
3,31.465
4,31.484
5,31.495
6,31.507
7,31.520
8,31.531
9,31.543
10,31.555
11,31.568
12,31.578
13,31.588
14,31.601
15,31.617
16,31.642
17,31.666
18,31.690
19,31.706
20,31.725
21,31.745
22,31.763
23,31.777
24,31.790
25,31.804
26,31.818
27,31.831
28,31.844
29,31.857
30,31.874
31,31.896
32,31.914
33,31.927
34,31.944
35,31.972
36,31.995
37,32.026
38,32.050
39,32.068
40,32.099
41,32.116
42,32.141
43,32.159
44,32.175
45,32.186
46,32.196
47,32.206
48,32.221
49,32.242
50,32.262
51,32.283
52,32.310
53,32.335
54,32.366
55,32.407
56,32.439
57,32.463
58,32.500
59,32.568
60,32.628
61,32.679
62,32.725
63,32.793
64,32.864
65,32.966
66,33.018
67,33.090
68,33.210
69,33.363
70,33.520
71,33.814
72,34.284
73,34.528
74,34.621
75,35.303
76,36.441
77,38.062
78,38.757
79,39.261
80,42.335
81,47.407
82,50.266
83,52.707
84,56.335
85,135.598
86,226.920
87,247.166
88,735.571
89,737.481
90,738.518
91,739.228
92,740.562
93,742.090
94,742.548
95,747.196
96,747.982
97,7840.233
98,13724.927
99,13767.925
100,14502.827
