Percentage served,Time in ms
0,17.779
1,31.090
2,31.187
3,31.214
4,31.237
5,31.258
6,31.306
7,31.361
8,31.408
9,31.462
10,31.526
11,31.571
12,31.601
13,31.620
14,31.638
15,31.655
16,31.676
17,31.703
18,31.741
19,31.770
20,31.812
21,31.859
22,31.887
23,31.915
24,31.936
25,31.955
26,31.971
27,32.004
28,32.034
29,32.078
30,32.140
31,32.213
32,32.287
33,32.380
34,32.457
35,32.542
36,32.642
37,32.758
38,32.900
39,33.053
40,33.210
41,33.373
42,33.672
43,34.318
44,34.448
45,34.601
46,34.679
47,34.738
48,34.844
49,34.917
50,34.972
51,35.024
52,35.088
53,35.144
54,35.188
55,35.237
56,35.286
57,35.346
58,35.408
59,35.478
60,35.858
61,36.011
62,36.280
63,36.569
64,36.856
65,37.008
66,37.172
67,37.349
68,37.605
69,38.466
70,39.396
71,40.068
72,40.253
73,41.453
74,42.063
75,42.985
76,44.255
77,46.667
78,50.841
79,55.008
80,65.778
81,232.255
82,248.362
83,830.860
84,835.218
85,837.010
86,837.603
87,838.072
88,838.611
89,839.312
90,839.517
91,839.602
92,839.717
93,839.852
94,840.085
95,842.407
96,846.633
97,848.815
98,860.790
99,13618.219
100,13647.584
