Percentage served,Time in ms
0,19.247
1,28.334
2,31.034
3,31.090
4,31.110
5,31.127
6,31.142
7,31.158
8,31.170
9,31.184
10,31.204
11,31.280
12,31.401
13,31.432
14,31.460
15,31.487
16,31.525
17,31.554
18,31.575
19,31.593
20,31.611
21,31.631
22,31.641
23,31.651
24,31.664
25,31.684
26,31.701
27,31.719
28,31.746
29,31.778
30,31.809
31,31.852
32,31.867
33,31.880
34,31.894
35,31.924
36,31.955
37,31.993
38,32.052
39,32.079
40,32.094
41,32.116
42,32.130
43,32.153
44,32.175
45,32.192
46,32.210
47,32.235
48,32.275
49,32.318
50,32.354
51,32.392
52,32.429
53,32.452
54,32.486
55,32.535
56,32.614
57,32.697
58,32.740
59,32.802
60,32.873
61,32.952
62,33.032
63,33.335
64,33.587
65,33.965
66,34.620
67,35.039
68,37.123
69,38.692
70,41.579
71,44.310
72,50.151
73,66.636
74,210.992
75,236.785
76,733.974
77,736.442
78,737.133
79,737.308
80,739.122
81,739.296
82,741.903
83,748.312
84,778.242
85,7183.414
86,7388.729
87,7415.786
88,7460.607
89,7484.249
90,7661.189
91,7696.326
92,7744.732
93,8138.405
94,8168.165
95,8211.042
96,9214.694
97,9837.901
98,11276.806
99,13699.096
100,32640.154
